ticker,comp_name,exchange,per_end_date,per_type,filing_date,filing_type,zacks_sector_code,lterm_debt_net_tot,eps_diluted_net_basic
BRC,Brady,NYSE,2024-01-31,Q,2024-02-22,10-Q,7.0,48.09,0.9
SWBI,Smith & Wesson Brands,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,2.0,38.951,0.17
TJX,The TJX Companies,NYSE,2024-01-31,Q,2024-04-03,10-Q,3.0,2862.0,1.22
PURE,PURE Bioscience,NASDAQ Other OTC,2024-01-31,Q,2024-03-18,10-Q,4.0,0.785,-0.01
LMNR,Limoneira Co,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,1.0,11.095,-0.21
RH,RH,NYSE,2024-01-31,A,2024-03-28,10-K,1.0,-41.854,5.91
RH,RH,NYSE,2024-01-31,Q,2024-03-28,10-Q,1.0,-41.854,0.91
JVA,Coffee Holding Co.,NASDAQ,2024-01-31,Q,2024-03-18,10-Q,1.0,0.0021,0.06
DG,Dollar General,NYSE,2024-01-31,Q,2024-03-25,10-Q,3.0,1478.537,1.82
BOX,Box,NYSE,2024-01-31,A,2024-03-11,10-K,10.0,-30.176,0.67
BOX,Box,NYSE,2024-01-31,Q,2024-03-11,10-Q,10.0,-30.176,0.57
FCEL,FuelCell Energy,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,12.0,-2.595,-1.5015
JWN,Nordstrom,NYSE,2024-01-31,Q,2024-03-19,10-Q,3.0,2612.0,0.84
COO,The Cooper Companies,NASDAQ,2024-01-31,Q,2024-03-01,10-Q,4.0,202.0,0.41
SAIC,Science Applications International,NASDAQ,2024-01-31,A,2024-03-20,10-K,10.0,-281.0,8.88
CONNQ,Conn's,NASDAQ Other OTC,2024-01-31,Q,2024-04-18,10-Q,3.0,252.751,1.8
HOV,Hovnanian Enterprises,NYSE,2024-01-31,Q,2024-03-01,10-Q,8.0,-132.896,2.91
AMWD,American Woodmark,NASDAQ,2024-01-31,Q,2024-02-29,10-Q,2.0,-1.986,1.32
JWN,Nordstrom,NYSE,2024-01-31,A,2024-03-19,10-K,3.0,2612.0,0.82
CHWY,Chewy,NYSE,2024-01-31,A,2024-03-20,10-K,3.0,-0.51,0.09
DG,Dollar General,NYSE,2024-01-31,A,2024-03-25,10-K,3.0,1478.537,7.55
CONNQ,Conn's,NASDAQ Other OTC,2024-01-31,A,2024-04-18,10-K,3.0,252.751,-3.17
TJX,The TJX Companies,NYSE,2024-01-31,A,2024-04-03,10-K,3.0,2862.0,3.86
DY,Dycom Industries,NYSE,2024-01-31,Q,2024-03-01,10-Q,8.0,-17.5,0.79
DKS,DICK'S Sporting Goods,NYSE,2024-01-31,Q,2024-03-28,10-Q,3.0,-0.96,3.57
DKS,DICK'S Sporting Goods,NYSE,2024-01-31,A,2024-03-28,10-K,3.0,-0.96,12.18
BRID,Bridgford Foods,NASDAQ,2024-01-31,Q,2024-03-08,10-Q,1.0,-0.327,0.14
KR,The Kroger Co.,NYSE,2024-01-31,Q,2024-04-02,10-Q,3.0,-1286.0,1.01
KR,The Kroger Co.,NYSE,2024-01-31,A,2024-04-02,10-K,3.0,-1286.0,2.96
AVO,Mission Produce,NASDAQ,2024-01-31,Q,2024-03-11,10-Q,1.0,1.0,0.0
ENZ,Enzo Biochem,NYSE,2024-01-31,Q,2024-03-13,10-Q,4.0,-0.073,-0.06
DY,Dycom Industries,NYSE,2024-01-31,A,2024-03-01,10-K,8.0,-17.5,7.37
TITN,Titan Machinery,NASDAQ,2024-01-31,Q,2024-04-03,10-Q,3.0,6.554,1.04
TITN,Titan Machinery,NASDAQ,2024-01-31,A,2024-04-03,10-K,3.0,6.554,4.93
PVH,PVH,NYSE,2024-01-31,A,2024-04-02,10-K,2.0,-111.9,10.76
MRVL,Marvell Technology,NASDAQ,2024-01-31,A,2024-03-13,10-K,16.0,-327.2,-1.08
SAIC,Science Applications International,NASDAQ,2024-01-31,Q,2024-03-20,10-Q,10.0,-281.0,0.77
MRVL,Marvell Technology,NASDAQ,2024-01-31,Q,2024-03-13,10-Q,16.0,-327.2,-0.45
IVDN,Innovative Designs,NASDAQ Other OTC,2024-01-31,Q,2024-04-30,10-Q,2.0,-0.0136,-0.002
PVH,PVH,NYSE,2024-01-31,Q,2024-04-02,10-Q,2.0,-111.9,4.46
SMAR,Smartsheet,NYSE,2024-01-31,A,2024-03-20,10-K,10.0,-0.034,-0.78
CPB,THE CAMPBELL'S,NASDAQ,2024-01-31,Q,2024-03-06,10-Q,1.0,4506.0,0.68
HPE,Hewlett Packard,NYSE,2024-01-31,Q,2024-03-05,10-Q,10.0,344.0,0.29
BF.A,Brown Forman,NYSE,2024-01-31,Q,2024-03-06,10-Q,1.0,2678.0,0.6
OXM,Oxford Industries,NYSE,2024-01-31,Q,2024-04-01,10-Q,2.0,-89.707,-3.72
OLLI,Ollie's Bargain Outlet,NASDAQ,2024-01-31,Q,2024-03-27,10-Q,1.0,-1.027,1.23
OLLI,Ollie's Bargain Outlet,NASDAQ,2024-01-31,A,2024-03-27,10-K,1.0,-1.027,2.92
BF.B,BrownForman,NYSE,2024-01-31,Q,2024-03-06,10-Q,1.0,2678.0,0.6
DBI,Designer Brands,NYSE,2024-01-31,Q,2024-03-25,10-Q,3.0,153.1599,-0.44
DBI,Designer Brands,NYSE,2024-01-31,A,2024-03-25,10-K,3.0,153.1599,0.46
SMTC,Semtech,NASDAQ,2024-01-31,A,2024-03-28,10-K,10.0,42.625,-17.03
SMTC,Semtech,NASDAQ,2024-01-31,Q,2024-03-28,10-Q,10.0,42.625,-10.0
ADSK,Autodesk,NASDAQ,2024-01-31,Q,2024-06-10,10-Q,10.0,2284.0,1.29
ADSK,Autodesk,NASDAQ,2024-01-31,A,2024-06-10,10-K,10.0,2284.0,4.19
OXM,Oxford Industries,NYSE,2024-01-31,A,2024-04-01,10-K,2.0,-89.707,3.82
BURL,Burlington Stores,NYSE,2024-01-31,A,2024-03-15,10-K,3.0,-99.064,5.23
CASY,Casey's General Stores,NASDAQ,2024-01-31,Q,2024-03-11,10-Q,3.0,-48.364,2.33
VNCE,Vince Holding,NYSE,2024-01-31,A,2024-05-02,10-K,2.0,-73.649,2.04
VNCE,Vince Holding,NYSE,2024-01-31,Q,2024-05-02,10-Q,2.0,-73.649,-0.37
WDAY,Workday,NASDAQ,2024-01-31,A,2024-03-08,10-K,10.0,2980.0,5.21
WDAY,Workday,NASDAQ,2024-01-31,Q,2024-03-08,10-Q,10.0,2980.0,4.48
DCI,Donaldson,NYSE,2024-01-31,Q,2024-03-04,10-Q,7.0,-53.7,0.81
LOW,Lowe's Companies,NYSE,2024-01-31,Q,2024-03-25,10-Q,3.0,2382.0,1.81
LOW,Lowe's Companies,NYSE,2024-01-31,A,2024-03-25,10-K,3.0,2382.0,13.2
CHWY,Chewy,NYSE,2024-01-31,Q,2024-03-20,10-Q,3.0,-0.51,0.07
BUKS,Butler National,NASDAQ OTC Bulletin Board,2024-01-31,Q,2024-03-15,10-Q,11.0,-3.916,0.03
SVBL,Silver Bull Resources,NASDAQ Other OTC,2024-01-31,Q,2024-03-15,10-Q,6.0,-0.0294,0.0
SMAR,Smartsheet,NYSE,2024-01-31,Q,2024-03-20,10-Q,10.0,-0.034,-0.06
DELL,Dell Technologies,NYSE,2024-01-31,A,2024-03-25,10-K,10.0,-3471.0,4.36
DELL,Dell Technologies,NYSE,2024-01-31,Q,2024-03-25,10-Q,10.0,-3471.0,1.58
PSTG,Pure Storage,NYSE,2024-01-31,A,2024-04-01,10-K,10.0,-479.309,0.19
PSTG,Pure Storage,NYSE,2024-01-31,Q,2024-04-01,10-Q,10.0,-479.309,0.22
NTRB,Nutriband,NASDAQ,2024-01-31,Q,2024-05-01,10-Q,4.0,0.0868,-0.23
NTRB,Nutriband,NASDAQ,2024-01-31,A,2024-05-01,10-K,4.0,0.0868,-0.69
UNFI,United Natural Foods,NYSE,2024-01-31,Q,2024-03-06,10-Q,1.0,219.0,-0.25
CHPT,ChargePoint,NYSE,2024-01-31,Q,2024-04-01,10-Q,5.0,283.704,-0.21
NTNX,Nutanix,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,10.0,-1.758,0.12
VODG,Vitro Diagnostics,NASDAQ OTC Bulletin Board,2024-01-31,Q,2024-03-14,10-Q,4.0,2.9835,-1.03
ANF,Abercrombie & Fitch,NYSE,2024-01-31,A,2024-04-01,10-K,3.0,-77.972,6.22
ALOT,AstroNova,NASDAQ,2024-01-31,A,2024-04-12,10-K,16.0,-2.1,0.63
BBCP,Concrete Pumping Holdings,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,16.0,-5.934,-0.08
WLY,John Wiley & Sons,NYSE,2024-01-31,Q,2024-03-08,10-Q,1.0,158.681,-2.08
ALOT,AstroNova,NASDAQ,2024-01-31,Q,2024-04-12,10-Q,16.0,-2.1,0.37
NCNO,nCino,NASDAQ,2024-01-31,A,2024-03-26,10-K,10.0,-1.226,-0.38
WLYB,John Wiley & Sons,NYSE,2024-01-31,Q,2024-03-08,10-Q,1.0,158.681,-2.08
PANW,Palo Alto Networks,NASDAQ,2024-01-31,Q,2024-02-21,10-Q,10.0,-172.3,4.89
NCNO,nCino,NASDAQ,2024-01-31,Q,2024-03-26,10-Q,10.0,-1.226,0.01
ANF,Abercrombie & Fitch,NYSE,2024-01-31,Q,2024-04-01,10-Q,3.0,-77.972,2.97
SGMA,SigmaTron International,NASDAQ,2024-01-31,Q,2024-03-11,10-Q,10.0,-0.7573,0.1
VSCO,Victoria's Secret,NYSE,2024-01-31,A,2024-03-22,10-K,2.0,-4.0,1.39
CMTL,Comtech Telecommunications,NASDAQ,2024-01-31,Q,2024-03-18,10-Q,10.0,3.881,-1.07
VSCO,Victoria's Secret,NYSE,2024-01-31,Q,2024-03-22,10-Q,2.0,-4.0,2.32
REVG,REV Group,NYSE,2024-01-31,Q,2024-03-06,10-Q,15.0,-150.0,3.06
TGT,Target,NYSE,2024-01-31,Q,2024-03-13,10-Q,3.0,-147.0,2.99
