ticker,per_end_date,per_type,ret_invst,tot_debt_tot_equity
DCI,2024-01-31,Q,5.7125,0.4464
BBY,2024-01-31,Q,10.9394,0.3816
PSTG,2024-01-31,A,4.4749,0.0787
BBY,2024-01-31,A,29.5125,0.3816
HPE,2024-01-31,Q,1.3205,0.5961
CPB,2024-01-31,Q,2.4291,1.1737
BF.A,2024-01-31,Q,4.8118,1.0496
OLLI,2024-01-31,Q,5.0671,0.0011
BBWI,2024-01-31,Q,20.9631,-2.6986
SMTC,2024-01-31,A,-102.6547,-4.4623
SMTC,2024-01-31,Q,-60.3839,-4.4623
DBI,2024-01-31,Q,-3.7992,1.1889
DBI,2024-01-31,A,3.7477,1.1889
OLLI,2024-01-31,A,12.0218,0.0011
BBWI,2024-01-31,A,31.7886,-2.6986
ADSK,2024-01-31,Q,6.8132,1.2313
ADSK,2024-01-31,A,21.8894,1.2313
BF.B,2024-01-31,Q,4.8118,1.0496
OOMA,2024-01-31,A,-0.8875,0.2049
LOW,2024-01-31,A,37.9955,-2.3868
LOW,2024-01-31,Q,5.0162,-2.3868
CNM,2024-01-31,Q,2.2439,1.2323
NTNX,2024-01-31,Q,5.1342,-2.0443
CNM,2024-01-31,A,15.6776,1.2323
PSTG,2024-01-31,Q,4.7762,0.0787
VODG,2024-01-31,Q,248.2654,-0.8
NTRB,2024-01-31,A,-84.1556,0.0322
WOOF,2024-01-31,Q,-0.8177,1.3443
NTRB,2024-01-31,Q,-28.8578,0.0322
OOMA,2024-01-31,Q,-3.2576,0.2049
UNFI,2024-01-31,Q,-0.3613,1.2973
WOOF,2024-01-31,A,-46.3735,1.3443
THO,2024-01-31,Q,0.0999,0.3744
LE,2024-01-31,Q,-1.8042,1.0314
LE,2024-01-31,A,-27.3533,1.0314
BURL,2024-01-31,Q,9.5096,1.413
WMT,2024-01-31,Q,4.2953,0.519
OKTA,2024-01-31,A,-5.0412,0.196
PANW,2024-01-31,Q,40.0923,0.4181
WMT,2024-01-31,A,12.308,0.519
OKTA,2024-01-31,Q,-0.6248,0.196
HQY,2024-01-31,A,1.9145,0.43
HQY,2024-01-31,Q,0.906,0.43
NVDA,2024-01-31,A,57.8572,0.2259
SNPS,2024-01-31,Q,6.6672,0.0025
STRM,2024-01-31,Q,-4.9139,0.5616
NVDA,2024-01-31,Q,23.8855,0.2259
STRM,2024-01-31,A,-67.0624,0.5616
PHR,2024-01-31,Q,-11.9315,0.0456
DAKT,2024-01-31,Q,3.5045,0.3038
PHR,2024-01-31,A,-53.294,0.0456
WDAY,2024-01-31,Q,10.7421,0.3687
WDAY,2024-01-31,A,12.4842,0.3687
VNCE,2024-01-31,Q,-5.1239,0.9321
VNCE,2024-01-31,A,27.931,0.9321
CASY,2024-01-31,Q,1.9186,0.5553
BURL,2024-01-31,A,14.2001,1.413
HPQ,2024-01-31,Q,8.119,-5.8902
GCO,2024-01-31,A,-3.8998,0.0607
GCO,2024-01-31,Q,3.3488,0.0607
TTC,2024-01-31,Q,2.3793,0.7666
IHT,2024-01-31,A,2.3742,3.6614
IHT,2024-01-31,Q,-3.0368,3.6614
ADI,2024-01-31,Q,1.1151,0.1966
HOFT,2024-01-31,A,3.9866,0.1012
SKIL,2024-01-31,Q,-31.3286,2.8401
ENZ,2024-01-31,Q,-1.2153,0.0489
SKIL,2024-01-31,A,-44.5173,2.8401
IVDN,2024-01-31,Q,-4.6544,0.0864
RFIL,2024-01-31,Q,-2.7926,0.3374
AVO,2024-01-31,Q,0.2831,0.3383
MRVL,2024-01-31,Q,-2.0789,0.2809
MRVL,2024-01-31,A,-4.9412,0.2809
HEI,2024-01-31,Q,2.1589,0.7539
HEI.A,2024-01-31,Q,2.1589,0.7539
BRC,2024-01-31,Q,4.0143,0.0463
TITN,2024-01-31,A,14.7165,1.5418
TITN,2024-01-31,Q,3.1362,1.5418
DY,2024-01-31,A,11.8589,0.767
DY,2024-01-31,Q,1.2685,0.767
PVH,2024-01-31,Q,4.0503,0.4238
PVH,2024-01-31,A,9.8888,0.4238
PD,2024-01-31,A,-12.486,2.6109
VRNT,2024-01-31,A,3.187,0.4936
RFL,2024-01-31,Q,5.7739,0.0166
NDSN,2024-01-31,Q,2.5784,0.6047
VRNT,2024-01-31,Q,2.3257,0.4936
MSS,2024-01-31,Q,-3.3165,0.1843
DLTR,2024-01-31,Q,-15.9208,0.4685
DKS,2024-01-31,Q,7.2291,0.5667
DKS,2024-01-31,A,25.5215,0.5667
DLTH,2024-01-31,Q,2.4823,0.2854
BRID,2024-01-31,Q,0.9259,0.028
PD,2024-01-31,Q,-4.6507,2.6109
DLTR,2024-01-31,A,-9.2966,0.4685
KR,2024-01-31,Q,3.1275,1.0539
KR,2024-01-31,A,9.1794,1.0539
DLTH,2024-01-31,A,-3.3286,0.2854
RH,2024-01-31,A,4.7672,-10.1381
AMWD,2024-01-31,Q,1.6738,0.4164
CONNQ,2024-01-31,A,-6.0219,2.2777
CONNQ,2024-01-31,Q,3.3912,2.2777
COO,2024-01-31,Q,0.7792,0.3603
FCEL,2024-01-31,Q,-5.551,0.1874
SJM,2024-01-31,Q,0.7678,1.1295
BRRE,2024-01-31,Q,-1.2728,0.0005
BOX,2024-01-31,Q,-164.7327,-0.8603
HOV,2024-01-31,Q,1.4564,1.7035
BOX,2024-01-31,A,-214.1965,-0.8603
SMAR,2024-01-31,A,-17.257,0.0011
MTN,2024-01-31,Q,5.9346,2.4253
SMAR,2024-01-31,Q,-1.4804,0.0011
DELL,2024-01-31,Q,6.9329,-11.2577
DELL,2024-01-31,A,19.1283,-11.2577
HOFT,2024-01-31,Q,0.2392,0.1012
BUKS,2024-01-31,Q,2.8124,0.7951
JWN,2024-01-31,Q,3.9017,3.375
JWN,2024-01-31,A,3.8728,3.375
CAL,2024-01-31,A,30.275,0.3207
SAIC,2024-01-31,Q,1.0244,1.1759
TJX,2024-01-31,A,44.0181,0.3919
TJX,2024-01-31,Q,13.8036,0.3919
SAIC,2024-01-31,A,12.5296,1.1759
SWBI,2024-01-31,Q,1.6521,0.2674
PURE,2024-01-31,Q,-185.2126,-1.4095
LMNR,2024-01-31,Q,-1.4922,0.2671
RH,2024-01-31,Q,0.4253,-10.1381
CAL,2024-01-31,Q,9.8067,0.3207
JVA,2024-01-31,Q,1.4585,0.1956
DG,2024-01-31,Q,3.0955,1.0372
DG,2024-01-31,A,12.7981,1.0372
DOMO,2024-01-31,A,188.8658,-0.7394
ASAN,2024-01-31,A,-69.4649,0.1336
ASAN,2024-01-31,Q,-16.8637,0.1336
FL,2024-01-31,A,-9.904,0.1547
FL,2024-01-31,Q,-11.6747,0.1547
KSS,2024-01-31,A,3.8607,1.1541
PPIH,2024-01-31,Q,13.1109,0.2834
KSS,2024-01-31,Q,2.2653,1.1541
PPIH,2024-01-31,A,18.8888,0.2103
GIII,2024-01-31,A,8.947,0.2695
CRWD,2024-01-31,A,2.9415,0.3177
CRWD,2024-01-31,Q,1.784,0.3177
GIII,2024-01-31,Q,1.4328,0.2695
NAPA,2024-01-31,Q,1.2678,0.2901
TPET,2024-01-31,Q,-18.8273,0.1406
AVAV,2024-01-31,Q,1.6446,0.0477
ABM,2024-01-31,Q,1.4329,0.7289
VIRC,2024-01-31,A,22.9869,0.0481
KIRK,2024-01-31,A,-74.7522,10.8835
CVGW,2024-01-31,Q,-1.0218,0.2518
TGT,2024-01-31,Q,4.8741,1.194
TGT,2024-01-31,A,14.5941,1.194
RENT,2024-01-31,Q,-13.449,-2.5078
AXR,2024-01-31,Q,0.0808,0.0003
NX,2024-01-31,Q,1.0134,0.1155
LAKE,2024-01-31,Q,-0.7868,0.0083
LAKE,2024-01-31,A,4.3694,0.0083
ODC,2024-01-31,Q,5.4573,0.1625
HSCS,2024-01-31,Q,-19.0392,0.0579
RENT,2024-01-31,A,-61.3883,-2.5078
MAYS,2024-01-31,Q,-0.1674,0.1051
CURV,2024-01-31,Q,-5.297,-1.4735
CURV,2024-01-31,A,15.1218,-1.4735
CBRL,2024-01-31,Q,2.9023,0.979
HMLA,2024-01-31,Q,64.9743,-0.28
ZUO,2024-01-31,A,-13.8263,2.6893
AVGO,2024-01-31,Q,0.8862,1.0799
ZUO,2024-01-31,Q,-4.2241,2.6893
KEYS,2024-01-31,Q,2.8548,0.3772
MEI,2024-01-31,Q,-0.9948,0.3968
SRCO,2024-01-31,Q,0.9848,-0.7493
MDB,2024-01-31,Q,-2.5069,1.0695
CHPT,2024-01-31,A,-74.8485,0.8658
MDT,2024-01-31,Q,1.7558,0.4843
CHPT,2024-01-31,Q,-15.4972,0.8658
DTGI,2024-01-31,Q,10.4106,-1.3518
KEQU,2024-01-31,Q,3.4608,0.7022
ASO,2024-01-31,Q,6.8943,0.2494
ASO,2024-01-31,A,21.2853,0.2494
