ticker,per_end_date,per_type,mkt_val
PLUS,2024-03-31,Q,2115.87
ENSC,2024-03-31,Q,5.79
PLUR,2024-03-31,Q,33.43
ENSG,2024-03-31,Q,7082.36
PLUG,2024-03-31,Q,2394.82
ENSV,2024-03-31,Q,5.2
PLTK,2024-03-31,Q,2616.45
ENS,2024-03-31,Q,3817.69
ENTG,2024-03-31,Q,21192.23
PLRX,2024-03-31,Q,898.75
ENLC,2024-03-31,Q,6155.79
PMD,2024-03-31,Q,17.01
PM,2024-03-31,Q,142428.5
PLYM,2024-03-31,Q,1021.1
ENOV,2024-03-31,Q,3425.44
PLYA,2024-03-31,Q,1347.25
ENPH,2024-03-31,Q,16460.87
PLXS,2024-03-31,Q,2617.03
ENR,2024-03-31,Q,2113.27
ENV,2024-03-31,Q,3172.82
ENVA,2024-03-31,Q,1771.81
PLD,2024-03-31,Q,120563.41
EOSE,2024-03-31,Q,212.98
PLCE,2024-03-31,Q,143.99
PLBY,2024-03-31,Q,76.28
EPAC,2024-03-31,Q,1934.68
PLAY,2024-03-31,Q,2522.75
PLAG,2024-03-31,Q,18.74
PLAB,2024-03-31,Q,1794.18
EPD,2024-03-31,Q,63269.4
EPAM,2024-03-31,Q,16015.99
PLPC,2024-03-31,Q,632.8
PLOW,2024-03-31,Q,554.37
PLNT,2024-03-31,Q,5505.37
ENVX,2024-03-31,Q,1360.9
PLMR,2024-03-31,Q,2089.13
PLMJ,2024-03-31,Q,84.75
EOG,2024-03-31,Q,73471.0
EOLS,2024-03-31,Q,876.31
ENZ,2024-03-31,Q,65.06
PNTG,2024-03-31,Q,589.15
EME,2024-03-31,Q,16458.08
EMKR,2024-03-31,Q,26.67
PNR,2024-03-31,Q,14185.14
EML,2024-03-31,Q,212.5
PNST,2024-03-31,Q,130.29
ELV,2024-03-31,Q,120517.96
POLA,2024-03-31,Q,7.19
PNW,2024-03-31,Q,8486.26
PODD,2024-03-31,Q,12001.86
POCI,2024-03-31,Q,33.67
EMBC,2024-03-31,Q,764.07
EMMA,2024-03-31,Q,6.49
PMTS,2024-03-31,Q,203.27
PMT,2024-03-31,Q,1274.89
ENG,2024-03-31,Q,8.85
EMN,2024-03-31,Q,11790.83
PNNT,2024-03-31,Q,448.74
EMR,2024-03-31,Q,64887.59
PNBK,2024-03-31,Q,14.91
PNC,2024-03-31,Q,64285.8
PNFP,2024-03-31,Q,6619.42
ESGR,2024-03-31,Q,4731.15
PGRE,2024-03-31,Q,1019.27
PGR,2024-03-31,Q,121134.14
ESI,2024-03-31,Q,6046.75
ES,2024-03-31,Q,20962.95
PHGE,2024-03-31,Q,24.85
ESAB,2024-03-31,Q,6681.13
PGY,2024-03-31,Q,713.08
PHAT,2024-03-31,Q,621.53
ESCA,2024-03-31,Q,190.6
PH,2024-03-31,Q,71441.79
ESTA,2024-03-31,Q,1397.7
PFS,2024-03-31,Q,1901.61
ESTC,2024-03-31,Q,10104.19
ET,2024-03-31,Q,53000.3
PFMT,2024-03-31,Q,226.15
PFLT,2024-03-31,Q,701.33
PFIS,2024-03-31,Q,304.24
PFIE,2024-03-31,Q,87.13
ETD,2024-03-31,Q,878.49
ETN,2024-03-31,Q,125009.46
PFSI,2024-03-31,Q,4638.55
ESPR,2024-03-31,Q,507.59
ESSA,2024-03-31,Q,184.7
ESS,2024-03-31,Q,15719.02
ESRT,2024-03-31,Q,1669.4
PFX,2024-03-31,Q,90.87
PG,2024-03-31,Q,382931.94
PGC,2024-03-31,Q,431.91
POOL,2024-03-31,Q,15465.66
PKBK,2024-03-31,Q,205.98
PK,2024-03-31,Q,3683.35
EPRT,2024-03-31,Q,4673.67
EPR,2024-03-31,Q,3212.1
EQBK,2024-03-31,Q,527.35
PKST,2024-03-31,Q,585.61
PKOH,2024-03-31,Q,348.73
EPM,2024-03-31,Q,205.42
PKG,2024-03-31,Q,17033.66
EQH,2024-03-31,Q,12452.69
PHX,2024-03-31,Q,127.73
PHUN,2024-03-31,Q,71.92
PHR,2024-03-31,Q,1349.35
PHM,2024-03-31,Q,25371.47
ERNA,2024-03-31,Q,12.98
PINE,2024-03-31,Q,208.16
PINC,2024-03-31,Q,2316.53
EQIX,2024-03-31,Q,78093.55
PIK,2024-03-31,Q,8.92
EQR,2024-03-31,Q,23953.63
PIII,2024-03-31,Q,325.38
PHIN,2024-03-31,Q,1755.6
EQT,2024-03-31,Q,16369.82
EQS,2024-03-31,Q,19.84
PII,2024-03-31,Q,5658.13
ELUT,2024-03-31,Q,76.46
PSNL,2024-03-31,Q,77.39
ECBK,2024-03-31,Q,119.92
PSN,2024-03-31,Q,12172.72
ECC,2024-03-31,Q,777.95
PSMT,2024-03-31,Q,2578.8
ECDA,2024-03-31,Q,29.96
PSIX,2024-03-31,Q,52.6
ECIA,2024-03-31,Q,8.91
ECL,2024-03-31,Q,65938.05
PSTX,2024-03-31,Q,309.2
PSTV,2024-03-31,Q,7.72
PSTL,2024-03-31,Q,324.13
EBMT,2024-03-31,Q,102.94
PSTG,2024-03-31,Q,16892.09
EBS,2024-03-31,Q,132.58
PSQH,2024-03-31,Q,152.18
EBTC,2024-03-31,Q,318.88
EDBL,2024-03-31,Q,1.97
PRU,2024-03-31,Q,42146.6
ED,2024-03-31,Q,31375.76
PSEC,2024-03-31,Q,2291.95
ECPG,2024-03-31,Q,1080.36
ECVT,2024-03-31,Q,1304.61
EBET,2024-03-31,Q,1.66
PSA,2024-03-31,Q,50970.7
DXPE,2024-03-31,Q,855.83
PTVE,2024-03-31,Q,2565.42
DXYN,2024-03-31,Q,9.01
DY,2024-03-31,Q,4175.53
DYAI,2024-03-31,Q,48.83
PTPI,2024-03-31,Q,10.18
PUMP,2024-03-31,Q,864.88
DWSN,2024-03-31,Q,43.75
DX,2024-03-31,Q,798.8
PUBM,2024-03-31,Q,1183.13
DXC,2024-03-31,Q,3878.69
DXCM,2024-03-31,Q,55158.75
PTON,2024-03-31,Q,1588.94
PTEN,2024-03-31,Q,4814.83
PTCT,2024-03-31,Q,2231.11
