ticker,per_end_date,per_type,shares_out
ESTC,2024-01-31,Q,100.81
MEI,2024-01-31,Q,35.48
CHPT,2024-01-31,Q,421.12
AMWD,2024-01-31,Q,15.85
ANF,2024-01-31,Q,50.41
MDB,2024-01-31,Q,72.74
MDT,2024-01-31,Q,1327.82
PNST,2024-01-31,Q,40.09
TTC,2024-01-31,Q,104.4
PPIH,2024-01-31,Q,8.06
CHWY,2024-01-31,Q,431.78
STRM,2024-01-31,Q,3.92
ENZ,2024-01-31,Q,50.49
CIEN,2024-01-31,Q,145.01
WOOF,2024-01-31,Q,306.8
PURE,2024-01-31,Q,111.86
SPWH,2024-01-31,Q,37.41
FL,2024-01-31,Q,94.16
LOW,2024-01-31,Q,575.11
CDMO,2024-01-31,Q,63.24
PVH,2024-01-31,Q,59.64
ALOT,2024-01-31,Q,7.43
WLY,2024-01-31,Q,54.74
WMT,2024-01-31,Q,8076.7
LZB,2024-01-31,Q,42.64
WLYB,2024-01-31,Q,54.74
M,2024-01-31,Q,274.07
FCEL,2024-01-31,Q,15.05
PSTG,2024-01-31,Q,304.08
SVBL,2024-01-31,Q,35.68
DLTR,2024-01-31,Q,217.87
DLTH,2024-01-31,Q,31.11
PDCO,2024-01-31,Q,89.59
PD,2024-01-31,Q,92.89
DKS,2024-01-31,Q,80.41
CNM,2024-01-31,Q,201.29
DOMO,2024-01-31,Q,36.92
DELL,2024-01-31,Q,705.0
ADI,2024-01-31,Q,495.91
YYAI,2024-01-31,Q,1.03
TPET,2024-01-31,Q,1.59
CONNQ,2024-01-31,Q,24.55
ADSK,2024-01-31,Q,213.91
DG,2024-01-31,Q,219.5
COO,2024-01-31,Q,198.76
PLAB,2024-01-31,Q,63.39
MSS,2024-01-31,Q,19.69
MTN,2024-01-31,Q,37.97
PLAY,2024-01-31,Q,40.19
MRVL,2024-01-31,Q,864.5
SWBI,2024-01-31,Q,45.64
PLCE,2024-01-31,Q,12.48
CMTL,2024-01-31,Q,28.48
NCNO,2024-01-31,Q,113.13
NDSN,2024-01-31,Q,57.19
PHR,2024-01-31,Q,55.63
DY,2024-01-31,Q,29.09
NAPA,2024-01-31,Q,115.41
VRNT,2024-01-31,Q,63.01
BOX,2024-01-31,Q,144.35
IHT,2024-01-31,Q,9.01
BRC,2024-01-31,Q,48.33
BBY,2024-01-31,Q,215.4
BBWI,2024-01-31,Q,225.94
INTU,2024-01-31,Q,280.0
BBCP,2024-01-31,Q,53.87
IOT,2024-01-31,Q,545.97
VSCO,2024-01-31,Q,77.43
SGMA,2024-01-31,Q,6.09
VLGEA,2024-01-31,Q,14.79
BIGGQ,2024-01-31,Q,29.22
HOFT,2024-01-31,Q,10.67
HOV,2024-01-31,Q,6.1
HSCS,2024-01-31,Q,0.64
HRL,2024-01-31,Q,547.69
HPE,2024-01-31,Q,1299.82
VIRC,2024-01-31,Q,16.35
HPQ,2024-01-31,Q,980.73
HQY,2024-01-31,Q,85.8
SAIC,2024-01-31,Q,52.06
VNCE,2024-01-31,Q,12.5
BF.B,2024-01-31,Q,472.48
HEI.A,2024-01-31,Q,138.36
HEI,2024-01-31,Q,138.36
BF.A,2024-01-31,Q,472.48
BNED,2024-01-31,Q,0.53
AXR,2024-01-31,Q,5.27
SMTC,2024-01-31,Q,64.29
UNFI,2024-01-31,Q,59.41
WDAY,2024-01-31,Q,263.86
LAKE,2024-01-31,Q,7.36
SMAR,2024-01-31,Q,136.88
CASY,2024-01-31,Q,37.11
KR,2024-01-31,Q,719.42
RCAT,2024-01-31,Q,74.17
KSS,2024-01-31,Q,110.71
LMNR,2024-01-31,Q,18.0
ASO,2024-01-31,Q,74.15
ASAN,2024-01-31,Q,224.73
LE,2024-01-31,Q,31.45
CBRL,2024-01-31,Q,22.2
SNPS,2024-01-31,Q,152.54
GCO,2024-01-31,Q,11.49
JILL,2024-01-31,Q,10.6
AVO,2024-01-31,Q,70.85
SJM,2024-01-31,Q,106.18
RH,2024-01-31,Q,18.4
