ticker,comp_name,exchange,per_end_date,per_type,filing_date,filing_type,zacks_sector_code,lterm_debt_net_tot,eps_diluted_net_basic
BF.A,Brown Forman,NYSE,2024-01-31,Q,2024-03-06,10-Q,1.0,2678.0,0.6
NCNO,nCino,NASDAQ,2024-01-31,A,2024-03-26,10-K,10.0,-1.226,-0.38
BF.B,BrownForman,NYSE,2024-01-31,Q,2024-03-06,10-Q,1.0,2678.0,0.6
NCNO,nCino,NASDAQ,2024-01-31,Q,2024-03-26,10-Q,10.0,-1.226,0.01
NDSN,Nordson,NASDAQ,2024-01-31,Q,2024-02-22,10-Q,7.0,-108.683,1.9
WLY,John Wiley & Sons,NYSE,2024-01-31,Q,2024-03-08,10-Q,1.0,158.681,-2.08
WLYB,John Wiley & Sons,NYSE,2024-01-31,Q,2024-03-08,10-Q,1.0,158.681,-2.08
KR,The Kroger Co.,NYSE,2024-01-31,Q,2024-04-02,10-Q,3.0,-1286.0,1.01
KR,The Kroger Co.,NYSE,2024-01-31,A,2024-04-02,10-K,3.0,-1286.0,2.96
BIGGQ,Big Lots,NASDAQ Other OTC,2024-01-31,A,2024-04-18,10-K,3.0,-0.695,-16.53
BIGGQ,Big Lots,NASDAQ Other OTC,2024-01-31,Q,2024-04-18,10-Q,3.0,-0.695,-1.03
NIMU,NonInvasive Monitoring Systems,NASDAQ Other OTC,2024-01-31,Q,2024-03-15,10-Q,4.0,0.5,0.0
BJ,BJ's Wholesale Club,NYSE,2024-01-31,A,2024-03-18,10-K,2.0,-109.36,3.88
WMT,Walmart,NYSE,2024-01-31,A,2024-03-15,10-K,3.0,750.0,1.91
BJ,BJ's Wholesale Club,NYSE,2024-01-31,Q,2024-03-18,10-Q,2.0,-109.36,1.09
WMT,Walmart,NYSE,2024-01-31,Q,2024-03-15,10-Q,3.0,750.0,0.6733
GAP,The Gap,NYSE,2024-01-31,Q,2024-03-19,10-Q,3.0,1488.0,0.49
MSS,Maison Solutions Inc.,NASDAQ,2024-01-31,Q,2024-03-18,10-Q,2.0,-0.2975,-0.03
GES,Guess,NYSE,2024-01-31,Q,2024-04-01,10-Q,2.0,-47.707,1.9
GES,Guess,NYSE,2024-01-31,A,2024-04-01,10-K,2.0,-47.707,3.09
BBCP,Concrete Pumping Holdings,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,16.0,-5.934,-0.08
THO,Thor Industries,NYSE,2024-01-31,Q,2024-03-06,10-Q,8.0,-71.988,0.13
TGT,Target,NYSE,2024-01-31,Q,2024-03-13,10-Q,3.0,-147.0,2.99
BBWI,"Bath & Body Works, Inc.",NYSE,2024-01-31,A,2024-03-22,10-K,3.0,-462.0,3.84
BBWI,"Bath & Body Works, Inc.",NYSE,2024-01-31,Q,2024-03-22,10-Q,3.0,-462.0,2.54
TGT,Target,NYSE,2024-01-31,A,2024-03-13,10-K,3.0,-147.0,8.94
BBY,Best Buy,NYSE,2024-01-31,A,2024-03-15,10-K,3.0,-19.0,5.68
BBY,Best Buy,NYSE,2024-01-31,Q,2024-03-15,10-Q,3.0,-19.0,2.11
KSS,Kohl's,NYSE,2024-01-31,Q,2024-03-21,10-Q,3.0,-340.0,1.67
IHT,InnSuites Hospitality Trust,NYSE MKT (ex. AMEX),2024-01-31,A,2024-04-08,10-K,2.0,-0.3244,0.02
IHT,InnSuites Hospitality Trust,NYSE MKT (ex. AMEX),2024-01-31,Q,2024-04-08,10-Q,2.0,-0.3244,-0.02
KSS,Kohl's,NYSE,2024-01-31,A,2024-03-21,10-K,3.0,-340.0,2.85
MTN,Vail Resorts,NYSE,2024-01-31,Q,2024-03-11,10-Q,2.0,-31.25,5.76
GEF.B,Greif Bros.,NYSE,2024-01-31,Q,2024-02-29,10-Q,7.0,109.9,1.4
GEF,Greif,NYSE,2024-01-31,Q,2024-02-29,10-Q,7.0,109.9,1.4
GCO,Genesco,NYSE,2024-01-31,Q,2024-03-27,10-Q,3.0,34.682,2.29
GCO,Genesco,NYSE,2024-01-31,A,2024-03-27,10-K,3.0,34.682,-1.5
NAPA,The Duckhorn Portfolio,NYSE,2024-01-31,Q,2024-03-07,10-Q,1.0,-5.0,0.14
GAP,The Gap,NYSE,2024-01-31,A,2024-03-19,10-K,3.0,1488.0,1.34
FCEL,FuelCell Energy,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,12.0,-2.595,-0.05
OCC,Optical Cable,NASDAQ,2024-01-31,Q,2024-03-13,10-Q,10.0,-0.8813,-0.18
KIRK,Kirkland's,NASDAQ,2024-01-31,Q,2024-03-29,10-Q,3.0,34.0,0.8
KIRK,Kirkland's,NASDAQ,2024-01-31,A,2024-03-29,10-K,3.0,34.0,-2.16
ODC,OilDri Corp. of America,NYSE,2024-01-31,Q,2024-03-07,10-Q,6.0,30.851,1.7
BUKS,Butler National,NASDAQ OTC Bulletin Board,2024-01-31,Q,2024-03-15,10-Q,11.0,-3.916,0.03
BURL,Burlington Stores,NYSE,2024-01-31,A,2024-03-15,10-K,3.0,-99.064,5.23
BURL,Burlington Stores,NYSE,2024-01-31,Q,2024-03-15,10-Q,3.0,-99.064,3.51
OKTA,Okta,NASDAQ,2024-01-31,A,2024-03-01,10-K,10.0,-937.0,-2.17
OKTA,Okta,NASDAQ,2024-01-31,Q,2024-03-01,10-Q,10.0,-937.0,-0.26
OLLI,Ollie's Bargain Outlet,NASDAQ,2024-01-31,A,2024-03-27,10-K,1.0,-1.027,2.92
OLLI,Ollie's Bargain Outlet,NASDAQ,2024-01-31,Q,2024-03-27,10-Q,1.0,-1.027,1.23
SWBI,Smith & Wesson Brands,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,2.0,38.951,0.17
NX,Quanex Building Products,NYSE,2024-01-31,Q,2024-03-08,10-Q,8.0,-0.679,0.19
BRRE,Blue Ridge Real Estate Co.,NASDAQ Other OTC,2024-01-31,Q,2024-03-18,10-Q,13.0,0.0115,-0.11
WOOF,Petco Health and Wellness Co.,NASDAQ,2024-01-31,A,2024-04-03,10-K,3.0,-80.925,-4.78
WOOF,Petco Health and Wellness Co.,NASDAQ,2024-01-31,Q,2024-04-03,10-Q,3.0,-80.925,-0.09
BNED,Barnes & Noble Education,NYSE,2024-01-31,Q,2024-03-12,10-Q,2.0,30.191,-18.0
