ticker,per_end_date,per_type,ret_invst,tot_debt_tot_equity
NAPA,2024-01-31,Q,1.2678,0.2901
COO,2024-01-31,Q,0.7792,0.3603
WDAY,2024-01-31,Q,10.7421,0.3687
CONNQ,2024-01-31,Q,3.3912,2.2777
CONNQ,2024-01-31,A,-6.0219,2.2777
AVO,2024-01-31,Q,0.2831,0.3383
FCEL,2024-01-31,Q,-5.551,0.1874
DLTH,2024-01-31,A,-3.3286,0.2854
DLTH,2024-01-31,Q,2.4823,0.2854
WDAY,2024-01-31,A,12.4842,0.3687
LAKE,2024-01-31,Q,-0.7868,0.0083
CHPT,2024-01-31,A,-74.8485,0.8658
GAP,2024-01-31,A,12.2949,0.5734
GAP,2024-01-31,Q,4.531,0.5734
CHPT,2024-01-31,Q,-15.4972,0.8658
HEI,2024-01-31,Q,2.1589,0.7539
DKS,2024-01-31,A,25.5215,0.5667
DKS,2024-01-31,Q,7.2291,0.5667
HEI.A,2024-01-31,Q,2.1589,0.7539
LAKE,2024-01-31,A,4.3694,0.0083
DLTR,2024-01-31,A,-9.2966,0.4685
DLTR,2024-01-31,Q,-15.9208,0.4685
SMAR,2024-01-31,Q,-1.4804,0.0011
MAMA,2024-01-31,Q,5.441,0.5182
CASY,2024-01-31,Q,1.9186,0.5553
ODC,2024-01-31,Q,5.4573,0.1625
BUKS,2024-01-31,Q,2.8124,0.7951
GCO,2024-01-31,A,-3.8998,0.0607
GCO,2024-01-31,Q,3.3488,0.0607
BURL,2024-01-31,A,14.2001,1.413
BURL,2024-01-31,Q,9.5096,1.413
M,2024-01-31,Q,-0.9951,0.7247
M,2024-01-31,A,1.4716,0.7247
GMS,2024-01-31,Q,2.1613,0.7264
LE,2024-01-31,Q,-1.8042,1.0314
LE,2024-01-31,A,-27.3533,1.0314
OCC,2024-01-31,Q,-4.2645,0.4338
PSTG,2024-01-31,Q,4.7762,0.0787
MAMA,2024-01-31,A,25.336,0.5182
PSTG,2024-01-31,A,4.4749,0.0787
SMAR,2024-01-31,A,-17.257,0.0011
