ticker,per_end_date,per_type,mkt_val
ENSG,2024-03-31,Q,7082.36
PLUS,2024-03-31,Q,2115.87
PLUR,2024-03-31,Q,33.43
ENSV,2024-03-31,Q,5.2
PLUG,2024-03-31,Q,2394.82
ENSC,2024-03-31,Q,5.79
PLTK,2024-03-31,Q,2616.45
PLRX,2024-03-31,Q,898.75
ENV,2024-03-31,Q,3172.82
ENTG,2024-03-31,Q,21192.23
PMD,2024-03-31,Q,17.01
ENS,2024-03-31,Q,3817.69
ENOV,2024-03-31,Q,3425.44
PM,2024-03-31,Q,142428.5
PLYM,2024-03-31,Q,1021.1
ENPH,2024-03-31,Q,16460.87
PLYA,2024-03-31,Q,1347.25
ENR,2024-03-31,Q,2113.27
ENLC,2024-03-31,Q,6155.79
ENVA,2024-03-31,Q,1771.81
EOSE,2024-03-31,Q,212.98
PLD,2024-03-31,Q,120563.41
EPAC,2024-03-31,Q,1934.68
PLCE,2024-03-31,Q,143.99
EPAM,2024-03-31,Q,16015.99
PLBY,2024-03-31,Q,76.28
PLAY,2024-03-31,Q,2522.75
EPC,2024-03-31,Q,1929.42
EPD,2024-03-31,Q,63269.4
PLAG,2024-03-31,Q,18.74
PLPC,2024-03-31,Q,632.8
PLOW,2024-03-31,Q,554.37
ENVX,2024-03-31,Q,1360.9
PLNT,2024-03-31,Q,5505.37
ENZ,2024-03-31,Q,65.06
PLMR,2024-03-31,Q,2089.13
PLMJ,2024-03-31,Q,84.75
EOG,2024-03-31,Q,73471.0
EOLS,2024-03-31,Q,876.31
PNTG,2024-03-31,Q,589.15
PNW,2024-03-31,Q,8486.26
PNST,2024-03-31,Q,130.29
EMKR,2024-03-31,Q,26.67
EML,2024-03-31,Q,212.5
PNR,2024-03-31,Q,14185.14
EMMA,2024-03-31,Q,6.49
POOL,2024-03-31,Q,15465.66
PODD,2024-03-31,Q,12001.86
POCI,2024-03-31,Q,33.67
EMBC,2024-03-31,Q,764.07
POLA,2024-03-31,Q,7.19
PMTS,2024-03-31,Q,203.27
PMT,2024-03-31,Q,1274.89
ENG,2024-03-31,Q,8.85
PNBK,2024-03-31,Q,14.91
EMN,2024-03-31,Q,11790.83
EMR,2024-03-31,Q,64887.59
PNNT,2024-03-31,Q,448.74
PLAB,2024-03-31,Q,1794.18
ESGR,2024-03-31,Q,4731.15
ESI,2024-03-31,Q,6046.75
PGRE,2024-03-31,Q,1019.27
ESLA,2024-03-31,Q,45.4
PGR,2024-03-31,Q,121134.14
ES,2024-03-31,Q,20962.95
ESAB,2024-03-31,Q,6681.13
PHGE,2024-03-31,Q,24.85
ESCA,2024-03-31,Q,190.6
PHAT,2024-03-31,Q,621.53
ESE,2024-03-31,Q,2761.71
PFSI,2024-03-31,Q,4638.55
ESTC,2024-03-31,Q,10104.19
ET,2024-03-31,Q,53000.3
PFMT,2024-03-31,Q,226.15
PFLT,2024-03-31,Q,701.33
PFIS,2024-03-31,Q,304.24
ETD,2024-03-31,Q,878.49
PFIE,2024-03-31,Q,87.13
ETNB,2024-03-31,Q,1108.42
ESPR,2024-03-31,Q,507.59
ESSA,2024-03-31,Q,184.7
ESS,2024-03-31,Q,15719.02
PG,2024-03-31,Q,382931.94
ESRT,2024-03-31,Q,1669.4
PGC,2024-03-31,Q,431.91
PFX,2024-03-31,Q,90.87
PKBO,2024-03-31,Q,0.12
EPRT,2024-03-31,Q,4673.67
PKBK,2024-03-31,Q,205.98
PK,2024-03-31,Q,3683.35
EQBK,2024-03-31,Q,527.35
PKST,2024-03-31,Q,585.61
EPM,2024-03-31,Q,205.42
PKOH,2024-03-31,Q,348.73
EQH,2024-03-31,Q,12452.69
PHX,2024-03-31,Q,127.73
PHUN,2024-03-31,Q,71.92
PHR,2024-03-31,Q,1349.35
PHM,2024-03-31,Q,25371.47
ERNA,2024-03-31,Q,12.98
EQIX,2024-03-31,Q,78093.55
PINE,2024-03-31,Q,208.16
PINC,2024-03-31,Q,2316.53
PIK,2024-03-31,Q,8.92
PII,2024-03-31,Q,5658.13
EQT,2024-03-31,Q,16369.82
PIII,2024-03-31,Q,325.38
EQS,2024-03-31,Q,19.84
ELV,2024-03-31,Q,120517.96
ECBK,2024-03-31,Q,119.92
PSNL,2024-03-31,Q,77.39
ECC,2024-03-31,Q,777.95
PSN,2024-03-31,Q,12172.72
ECDA,2024-03-31,Q,29.96
PSIX,2024-03-31,Q,52.6
ECIA,2024-03-31,Q,8.91
PSTX,2024-03-31,Q,309.2
PSTV,2024-03-31,Q,7.72
PSTL,2024-03-31,Q,324.13
EBMT,2024-03-31,Q,102.94
PSTG,2024-03-31,Q,16892.09
EBS,2024-03-31,Q,132.58
PSQH,2024-03-31,Q,152.18
EBTC,2024-03-31,Q,318.88
EDBL,2024-03-31,Q,1.97
PRU,2024-03-31,Q,42146.6
ED,2024-03-31,Q,31375.76
PSEC,2024-03-31,Q,2291.95
ECPG,2024-03-31,Q,1080.36
PSA,2024-03-31,Q,50970.7
ECVT,2024-03-31,Q,1304.61
EBET,2024-03-31,Q,1.66
DXPE,2024-03-31,Q,855.83
PTVE,2024-03-31,Q,2565.42
DXYN,2024-03-31,Q,9.01
DY,2024-03-31,Q,4175.53
DYAI,2024-03-31,Q,48.83
PTPI,2024-03-31,Q,10.18
DWSN,2024-03-31,Q,43.75
DX,2024-03-31,Q,798.8
PUBM,2024-03-31,Q,1183.13
DXC,2024-03-31,Q,3878.69
DXCM,2024-03-31,Q,55158.75
PTON,2024-03-31,Q,1588.94
PTEN,2024-03-31,Q,4814.83
PTCT,2024-03-31,Q,2231.11
PTC,2024-03-31,Q,22588.23
EAF,2024-03-31,Q,354.89
EAT,2024-03-31,Q,2210.29
PSX,2024-03-31,Q,69248.34
EB,2024-03-31,Q,532.19
DYNT,2024-03-31,Q,2.18
PTN,2024-03-31,Q,30.18
PTMN,2024-03-31,Q,176.74
PTLO,2024-03-31,Q,1034.79
DZSI,2024-03-31,Q,41.13
EBC,2024-03-31,Q,2431.16
PRTS,2024-03-31,Q,91.76
EKSO,2024-03-31,Q,24.72
PRAA,2024-03-31,Q,1026.3
ELA,2024-03-31,Q,121.74
PRA,2024-03-31,Q,655.47
ELAB,2024-03-31,Q,12.04
PR,2024-03-31,Q,13595.9
ELAN,2024-03-31,Q,8043.9
PPSI,2024-03-31,Q,56.7
ELEV,2024-03-31,Q,280.29
EHTH,2024-03-31,Q,175.6
PRCT,2024-03-31,Q,2541.38
EIX,2024-03-31,Q,27213.58
PRCH,2024-03-31,Q,421.95
ELF,2024-03-31,Q,10881.02
ELS,2024-03-31,Q,12010.33
POST,2024-03-31,Q,6439.07
ELTP,2024-03-31,Q,164.84
ELUT,2024-03-31,Q,76.46
POR,2024-03-31,Q,4327.31
PPBI,2024-03-31,Q,2314.36
PPL,2024-03-31,Q,20310.01
PPIH,2024-03-31,Q,63.33
ELME,2024-03-31,Q,1225.02
PPG,2024-03-31,Q,33979.05
EDR,2024-03-31,Q,17839.26
PRPO,2024-03-31,Q,9.85
PRPL,2024-03-31,Q,187.37
EEX,2024-03-31,Q,429.39
PRPH,2024-03-31,Q,116.75
EFC,2024-03-31,Q,1004.52
PROV,2024-03-31,Q,92.68
PROK,2024-03-31,Q,376.12
EFOI,2024-03-31,Q,7.06
EFSC,2024-03-31,Q,1520.66
EDSA,2024-03-31,Q,13.48
PRTH,2024-03-31,Q,247.84
EDUC,2024-03-31,Q,17.74
PRST,2024-03-31,Q,16.56
EE,2024-03-31,Q,1736.37
PRSO,2024-03-31,Q,3.86
EFSH,2024-03-31,Q,10.74
PRKR,2024-03-31,Q,14.49
PRIM,2024-03-31,Q,2282.55
PRI,2024-03-31,Q,8776.85
PRGS,2024-03-31,Q,2339.25
PRGO,2024-03-31,Q,4362.26
EGP,2024-03-31,Q,8654.9
PRG,2024-03-31,Q,1486.93
EGY,2024-03-31,Q,727.25
EHAB,2024-03-31,Q,584.32
PRKS,2024-03-31,Q,3553.75
PRLB,2024-03-31,Q,913.78
EFTR,2024-03-31,Q,56.15
EFX,2024-03-31,Q,33068.5
PRO,2024-03-31,Q,1706.36
EG,2024-03-31,Q,17274.65
EGAN,2024-03-31,Q,201.26
EGHT,2024-03-31,Q,333.24
PRM,2024-03-31,Q,1166.88
ETON,2024-03-31,Q,96.33
PFGC,2024-03-31,Q,11612.93
ORC,2024-03-31,Q,473.06
FIVN,2024-03-31,Q,4587.94
FIX,2024-03-31,Q,11349.21
ORBT,2024-03-31,Q,19.45
ORA,2024-03-31,Q,3997.88
OPY,2024-03-31,Q,412.33
FL,2024-03-31,Q,2693.09
OPTX,2024-03-31,Q,139.41
FINW,2024-03-31,Q,128.57
FIP,2024-03-31,Q,638.64
ORGO,2024-03-31,Q,374.77
ORGN,2024-03-31,Q,74.72
FIS,2024-03-31,Q,41653.01
FISI,2024-03-31,Q,290.71
ORCL,2024-03-31,Q,345239.09
ORGS,2024-03-31,Q,28.24
FLO,2024-03-31,Q,5014.31
OPK,2024-03-31,Q,836.39
OPI,2024-03-31,Q,99.46
OPHC,2024-03-31,Q,41.33
FLR,2024-03-31,Q,7194.62
OPGN,2024-03-31,Q,8.77
FLS,2024-03-31,Q,6013.97
OPFI,2024-03-31,Q,277.3
FLNT,2024-03-31,Q,40.38
OPEN,2024-03-31,Q,2095.48
OPCH,2024-03-31,Q,5829.8
OPBK,2024-03-31,Q,149.26
FLWS,2024-03-31,Q,696.75
OPAL,2024-03-31,Q,865.86
FLXS,2024-03-31,Q,192.1
FLEX,2024-03-31,Q,12049.48
FLGC,2024-03-31,Q,29.61
FLGT,2024-03-31,Q,648.84
OPOF,2024-03-31,Q,89.13
FLL,2024-03-31,Q,192.67
OPRX,2024-03-31,Q,220.93
FLIC,2024-03-31,Q,249.11
OPRT,2024-03-31,Q,86.47
OTEX,2024-03-31,Q,10595.52
OSW,2024-03-31,Q,1328.01
OSUR,2024-03-31,Q,470.54
FFNW,2024-03-31,Q,188.63
OSS,2024-03-31,Q,67.69
FFWM,2024-03-31,Q,426.67
FG,2024-03-31,Q,5115.34
FGBI,2024-03-31,Q,126.92
OSK,2024-03-31,Q,8156.17
OUST,2024-03-31,Q,357.13
OTTW,2024-03-31,Q,28.14
OTTR,2024-03-31,Q,3603.79
FFDF,2024-03-31,Q,84.33
FFIE,2024-03-31,Q,15.97
OTRK,2024-03-31,Q,24.3
OTLK,2024-03-31,Q,262.83
OTLC,2024-03-31,Q,14.35
FFIC,2024-03-31,Q,366.55
FGEN,2024-03-31,Q,233.76
FI,2024-03-31,Q,93510.98
FIBK,2024-03-31,Q,2845.39
ORRF,2024-03-31,Q,286.56
FICO,2024-03-31,Q,30879.04
