ticker,per_end_date,per_type,shares_out
DCI,2024-01-31,Q,120.37
NTNX,2024-01-31,Q,244.66
CPB,2024-01-31,Q,299.48
SKIL,2024-01-31,Q,8.07
AVGO,2024-01-31,Q,4634.21
SVBL,2024-01-31,Q,35.68
ALOT,2024-01-31,Q,7.43
HEI,2024-01-31,Q,138.36
TTC,2024-01-31,Q,104.4
DBI,2024-01-31,Q,57.22
AVAV,2024-01-31,Q,28.14
JWN,2024-01-31,Q,162.33
REVG,2024-01-31,Q,51.8
HEI.A,2024-01-31,Q,138.36
SWBI,2024-01-31,Q,45.64
MRVL,2024-01-31,Q,864.5
YYAI,2024-01-31,Q,1.03
ADI,2024-01-31,Q,495.91
PLCE,2024-01-31,Q,12.48
JILL,2024-01-31,Q,10.6
DE,2024-01-31,Q,278.36
IHT,2024-01-31,Q,9.01
RFIL,2024-01-31,Q,10.34
RFL,2024-01-31,Q,24.48
GIII,2024-01-31,Q,45.73
NTAP,2024-01-31,Q,206.38
TPET,2024-01-31,Q,31.9
AVO,2024-01-31,Q,70.85
SJM,2024-01-31,Q,106.18
DDS,2024-01-31,Q,16.23
PLAY,2024-01-31,Q,40.19
TOL,2024-01-31,Q,104.17
GCO,2024-01-31,Q,11.49
CPRT,2024-01-31,Q,961.46
CIEN,2024-01-31,Q,145.01
KIRK,2024-01-31,Q,12.92
CAL,2024-01-31,Q,35.5
ENZ,2024-01-31,Q,50.49
CHWY,2024-01-31,Q,431.78
NX,2024-01-31,Q,33.1
SMAR,2024-01-31,Q,136.88
VNCE,2024-01-31,Q,12.5
THO,2024-01-31,Q,53.32
PPIH,2024-01-31,Q,8.06
STRM,2024-01-31,Q,3.92
PNST,2024-01-31,Q,40.09
KEQU,2024-01-31,Q,2.9
GEF.B,2024-01-31,Q,47.12
GES,2024-01-31,Q,53.7
RENT,2024-01-31,Q,3.55
ZDGE,2024-01-31,Q,13.83
TGT,2024-01-31,Q,461.66
NVDA,2024-01-31,Q,25000.0
PANW,2024-01-31,Q,323.1
AMAT,2024-01-31,Q,830.9
DAKT,2024-01-31,Q,46.19
KFY,2024-01-31,Q,52.54
BF.B,2024-01-31,Q,472.48
KEYS,2024-01-31,Q,174.67
BF.A,2024-01-31,Q,472.48
GEF,2024-01-31,Q,47.12
DELL,2024-01-31,Q,705.0
PD,2024-01-31,Q,92.89
NCNO,2024-01-31,Q,113.13
PDCO,2024-01-31,Q,89.59
NDSN,2024-01-31,Q,57.19
VRNT,2024-01-31,Q,63.01
DKS,2024-01-31,Q,80.41
CMTL,2024-01-31,Q,28.48
DOMO,2024-01-31,Q,36.92
BBY,2024-01-31,Q,215.4
BBCP,2024-01-31,Q,53.87
SGMA,2024-01-31,Q,6.09
BBWI,2024-01-31,Q,225.94
INTU,2024-01-31,Q,280.0
ROST,2024-01-31,Q,336.67
DLTH,2024-01-31,Q,31.11
CNM,2024-01-31,Q,201.29
DLTR,2024-01-31,Q,217.87
VSCO,2024-01-31,Q,77.43
IOT,2024-01-31,Q,545.97
BRC,2024-01-31,Q,48.33
BURL,2024-01-31,Q,63.92
MTN,2024-01-31,Q,37.97
GME,2024-01-31,Q,305.51
DG,2024-01-31,Q,219.5
BOX,2024-01-31,Q,144.35
GMS,2024-01-31,Q,39.83
COO,2024-01-31,Q,198.76
RH,2024-01-31,Q,18.4
PLAB,2024-01-31,Q,63.39
MSS,2024-01-31,Q,19.69
ADSK,2024-01-31,Q,213.91
DY,2024-01-31,Q,29.09
NAPA,2024-01-31,Q,115.41
PHR,2024-01-31,Q,55.63
CONNQ,2024-01-31,Q,24.55
AXR,2024-01-31,Q,5.27
BNED,2024-01-31,Q,0.53
HOFT,2024-01-31,Q,10.67
CRM,2024-01-31,Q,968.0
VLGEA,2024-01-31,Q,14.79
OKTA,2024-01-31,Q,167.4
PSTG,2024-01-31,Q,304.08
CBRL,2024-01-31,Q,22.2
FCEL,2024-01-31,Q,451.86
WLY,2024-01-31,Q,54.74
WLYB,2024-01-31,Q,54.74
LZB,2024-01-31,Q,42.64
M,2024-01-31,Q,274.07
ASAN,2024-01-31,Q,224.73
CRMT,2024-01-31,Q,6.39
OLLI,2024-01-31,Q,61.59
GAP,2024-01-31,Q,370.83
CURV,2024-01-31,Q,104.1
LE,2024-01-31,Q,31.45
ABM,2024-01-31,Q,63.28
ASO,2024-01-31,Q,74.15
TITN,2024-01-31,Q,22.85
ODC,2024-01-31,Q,7.29
SNPS,2024-01-31,Q,152.54
BIGGQ,2024-01-31,Q,29.22
WMT,2024-01-31,Q,8076.7
TJX,2024-01-31,Q,1139.68
OOMA,2024-01-31,Q,25.8
CRWD,2024-01-31,Q,241.87
PVH,2024-01-31,Q,59.64
HQY,2024-01-31,Q,85.8
