ticker,comp_name,exchange,per_end_date,per_type,filing_date,filing_type,zacks_sector_code,lterm_debt_net_tot,eps_diluted_net_basic
VODG,Vitro Diagnostics,NASDAQ OTC Bulletin Board,2024-01-31,Q,2024-03-14,10-Q,4.0,2.9835,-1.03
PNST,"Pinstripes Holdings, Inc.",NYSE,2024-01-31,Q,2024-02-21,10-Q,2.0,41.564,0.33
ASAN,Asana,NYSE,2024-01-31,A,2024-03-14,10-K,10.0,-3.125,-1.17
ASAN,Asana,NYSE,2024-01-31,Q,2024-03-14,10-Q,10.0,-3.125,-0.28
BNED,Barnes & Noble Education,NYSE,2024-01-31,Q,2024-03-12,10-Q,2.0,30.191,-18.0
SAIC,Science Applications International,NASDAQ,2024-01-31,A,2024-03-20,10-K,10.0,-281.0,8.88
SAIC,Science Applications International,NASDAQ,2024-01-31,Q,2024-03-20,10-Q,10.0,-281.0,0.77
CMTL,Comtech Telecommunications,NASDAQ,2024-01-31,Q,2024-03-18,10-Q,10.0,3.881,-1.07
NTRB,Nutriband,NASDAQ,2024-01-31,A,2024-05-01,10-K,4.0,0.0868,-0.69
NTRB,Nutriband,NASDAQ,2024-01-31,Q,2024-05-01,10-Q,4.0,0.0868,-0.23
CBRL,Cracker Barrel Old Country Store,NASDAQ,2024-01-31,Q,2024-02-27,10-Q,3.0,36.5,1.19
VRNT,Verint Systems,NASDAQ,2024-01-31,A,2024-03-27,10-K,10.0,-3.084,0.28
VRNT,Verint Systems,NASDAQ,2024-01-31,Q,2024-03-27,10-Q,10.0,-3.084,0.36
IVDN,Innovative Designs,NASDAQ Other OTC,2024-01-31,Q,2024-04-30,10-Q,2.0,-0.0136,-0.002
NTNX,Nutanix,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,10.0,-1.758,0.12
ASO,Academy Sports and Outdoors,NASDAQ,2024-01-31,A,2024-03-21,10-K,2.0,-103.0,6.7
ROST,Ross Stores,NASDAQ,2024-01-31,A,2024-04-02,10-K,3.0,2211.017,5.56
ROST,Ross Stores,NASDAQ,2024-01-31,Q,2024-04-02,10-Q,3.0,2211.017,1.82
CASY,Casey's General Stores,NASDAQ,2024-01-31,Q,2024-03-11,10-Q,3.0,-48.364,2.33
PPIH,"Perma-Pipe International Holdings, Inc.",NASDAQ,2024-01-31,Q,2024-04-26,10-Q,7.0,-1.844,1.07
PPIH,"Perma-Pipe International Holdings, Inc.",NASDAQ,2024-01-31,A,2024-04-26,10-K,7.0,-1.844,1.3
BOX,Box,NYSE,2024-01-31,Q,2024-03-11,10-Q,10.0,-30.176,0.57
BOX,Box,NYSE,2024-01-31,A,2024-03-11,10-K,10.0,-30.176,0.67
VLGEA,Village Super Market,NASDAQ,2024-01-31,Q,2024-03-06,10-Q,3.0,-5.387,0.75
NTAP,NetApp,NASDAQ,2024-01-31,Q,2024-02-29,10-Q,10.0,1991.0,1.48
CNM,Core & Main,NYSE,2024-01-31,Q,2024-03-19,10-Q,16.0,415.0,0.34
CSCO,Cisco Systems,NASDAQ,2024-01-31,Q,2024-02-20,10-Q,10.0,1787.0,0.65
INTU,Intuit,NASDAQ,2024-01-31,Q,2024-02-22,10-Q,10.0,-244.0,1.25
IOT,Samsara Inc.,NYSE,2024-01-31,A,2024-03-26,10-K,10.0,-2.205,-0.54
IOT,Samsara Inc.,NYSE,2024-01-31,Q,2024-03-26,10-Q,10.0,-2.205,-0.22
VNCE,Vince Holding,NYSE,2024-01-31,A,2024-05-02,10-K,2.0,-73.649,2.04
VNCE,Vince Holding,NYSE,2024-01-31,Q,2024-05-02,10-Q,2.0,-73.649,-0.37
CNM,Core & Main,NYSE,2024-01-31,A,2024-03-19,10-K,16.0,415.0,2.15
