index,ticker,per_end_date,per_type,ret_invst,tot_debt_tot_equity,free_cash_flow_per_share
34230,ANIX,2024-01-31,Q,-13.9383,,-0.0734
17158,AGX,2024-01-31,Q,4.1308,,8.4221
17085,AGX,2024-01-31,A,11.1219,,8.4221
399104,NTRB,2024-01-31,A,-84.1556,0.0322,-0.45
399139,NTRB,2024-01-31,Q,-28.8578,0.0322,-0.45
150520,CURV,2024-01-31,Q,-5.297,-1.4735,0.1606
102560,CBRL,2024-01-31,Q,2.9023,0.979,0.4717
207424,FBDS,2024-01-31,Q,9.3471,-0.6009,-0.008
647430,VRNT,2024-01-31,A,3.187,0.4936,1.942
647497,VRNT,2024-01-31,Q,2.3257,0.4936,1.942
463536,RCAT,2024-01-31,Q,-8.4509,0.0182,-0.279
440003,PMCB,2024-01-31,Q,-1.9746,,-0.2113
150504,CURV,2024-01-31,A,15.1218,-1.4735,0.1606
49803,ATIF,2024-01-31,Q,-80.5208,,-0.0023
505208,SKIL,2024-01-31,A,-44.5173,2.8401,-1.8734
505231,SKIL,2024-01-31,Q,-31.3286,2.8401,-1.8734
379869,NAPA,2024-01-31,Q,1.2678,0.2901,-0.3725
648830,VSCO,2024-01-31,A,7.4454,2.5662,1.6835
648846,VSCO,2024-01-31,Q,11.81,2.5662,1.6835
150263,CULP,2024-01-31,Q,-3.9457,,-0.7102
276431,HURC,2024-01-31,Q,-0.7339,,-0.4624
343171,M,2024-01-31,Q,-0.9951,0.7247,1.4306
343096,M,2024-01-31,A,1.4716,0.7247,1.4306
531803,SVBL,2024-01-31,Q,-3.5273,,-0.0103
609293,TTC,2024-01-31,Q,2.3793,0.7666,-1.063
126943,CMTL,2024-01-31,Q,-1.8411,0.2931,-1.6989
398846,NTNX,2024-01-31,Q,5.1342,-2.0443,0.9885
644893,VNCE,2024-01-31,A,27.931,0.9321,0.0144
644943,VNCE,2024-01-31,Q,-5.1239,0.9321,0.0144
174976,DTGI,2024-01-31,Q,10.4106,-1.3518,0.0012
382617,NCPL,2024-01-31,Q,-5.527,0.0004,-21.7465
272506,HRL,2024-01-31,Q,2.1432,0.4219,0.6511
382511,NCNO,2024-01-31,Q,0.1247,0.0516,0.4744
345310,MAMA,2024-01-31,Q,5.441,0.5182,0.2823
397615,NTAP,2024-01-31,Q,10.4858,2.4054,4.564
345251,MAMA,2024-01-31,A,25.336,0.5182,0.2823
382491,NCNO,2024-01-31,A,-3.9502,0.0516,0.4744
645738,VODG,2024-01-31,Q,248.2654,-0.8,-0.2694
18217,AI,2024-01-31,Q,-8.0881,,-0.9061
441693,PNST,2024-01-31,Q,153.9854,-1.1828,-0.8254
309013,JWN,2024-01-31,Q,3.9017,3.375,0.508
308940,JWN,2024-01-31,A,3.8728,3.375,0.508
273136,HSCS,2024-01-31,Q,-19.0392,0.0579,-8.4574
308900,JVA,2024-01-31,Q,1.4585,0.1956,0.8049
58631,AXR,2024-01-31,Q,0.0808,0.0003,0.5743
90966,BURL,2024-01-31,Q,9.5096,1.413,6.002
90918,BURL,2024-01-31,A,14.2001,1.413,6.002
533167,SWBI,2024-01-31,Q,1.6521,0.2674,-0.4169
646601,VRA,2024-01-31,A,3.0154,,1.4122
646660,VRA,2024-01-31,Q,-0.7137,,1.4122
137039,CPRT,2024-01-31,Q,4.7956,0.0001,0.2604
504595,SJM,2024-01-31,Q,0.7678,1.1295,3.2616
90754,BUKS,2024-01-31,Q,2.8124,0.7951,0.0698
322776,LAKE,2024-01-31,A,4.3694,0.0083,1.7775
322849,LAKE,2024-01-31,Q,-0.7868,0.0083,1.7775
342980,LZB,2024-01-31,Q,2.9036,,1.6705
33550,ANF,2024-01-31,A,26.3668,0.2115,9.4117
33625,ANF,2024-01-31,Q,12.6643,0.2115,9.4117
177909,DY,2024-01-31,A,11.8589,0.767,2.5494
13119,AEO,2024-01-31,Q,0.3636,,2.0637
13046,AEO,2024-01-31,A,9.7905,,2.0637
177982,DY,2024-01-31,Q,1.2685,0.767,2.5494
467344,RENT,2024-01-31,A,-61.3883,-2.5078,-5.9391
435301,PHR,2024-01-31,Q,-11.9315,0.0456,-1.0534
435277,PHR,2024-01-31,A,-53.294,0.0456,-1.0534
467359,RENT,2024-01-31,Q,-13.449,-2.5078,-5.9391
454240,PVH,2024-01-31,A,9.8888,0.4238,11.7455
655249,WDAY,2024-01-31,A,12.4842,0.3687,7.2413
655298,WDAY,2024-01-31,Q,10.7421,0.3687,7.2413
47921,ASWB,2024-01-31,Q,3.1672,,0.2679
468053,REVG,2024-01-31,Q,36.8273,,-1.3415
468197,REX,2024-01-31,A,12.9211,,5.1397
468270,REX,2024-01-31,Q,4.3053,,5.1397
240162,GIII,2024-01-31,Q,1.4328,0.2695,11.9767
240089,GIII,2024-01-31,A,8.947,0.2695,11.9767
374653,MTN,2024-01-31,Q,5.9346,2.4253,11.5878
404132,NX,2024-01-31,Q,1.0134,0.1155,-0.1724
468731,RFIL,2024-01-31,Q,-2.7926,0.3374,0.067
468771,RFL,2024-01-31,Q,5.7739,0.0166,-0.1915
177580,DXLG,2024-01-31,Q,3.5139,,0.5026
309695,KALV,2024-01-31,Q,-32.7693,,-2.1355
168210,DLTH,2024-01-31,A,-3.3286,0.2854,-0.3155
177506,DXLG,2024-01-31,A,18.6999,,0.5026
491993,SCWX,2024-01-31,Q,-1.654,,-0.7621
491955,SCWX,2024-01-31,A,-17.1629,,-0.7621
437834,PLCE,2024-01-31,Q,-315.7773,-30.6612,5.2189
437761,PLCE,2024-01-31,A,-378.7863,-30.6612,5.2189
401182,NVDA,2024-01-31,A,57.8572,0.2259,1.0834
401255,NVDA,2024-01-31,Q,23.8855,0.2259,1.0834
491807,SCVL,2024-01-31,Q,2.6603,,2.4255
437621,PLAY,2024-01-31,Q,2.3515,5.1473,0.7965
437577,PLAY,2024-01-31,A,8.266,5.1473,0.7965
244583,GMS,2024-01-31,Q,2.1613,0.7264,4.7207
437444,PLAB,2024-01-31,Q,2.8956,0.0174,-0.029
244279,GMGI,2024-01-31,Q,0.2318,,0.0002
209472,FCEL,2024-01-31,Q,-5.551,0.1874,-0.1691
437262,PL,2024-01-31,Q,-5.8079,,-0.3331
244011,GME,2024-01-31,Q,4.6524,0.0213,-0.7389
243938,GME,2024-01-31,A,0.494,0.0213,-0.7389
437243,PL,2024-01-31,A,-27.1244,,-0.3331
491732,SCVL,2024-01-31,A,12.5727,,2.4255
193575,ENZ,2024-01-31,Q,-1.2153,0.0489,-0.4474
32402,AMWD,2024-01-31,Q,1.6738,0.4164,8.2192
168344,DLTR,2024-01-31,Q,-15.9208,0.4685,2.6282
168271,DLTR,2024-01-31,A,-9.2966,0.4685,2.6282
306126,JILL,2024-01-31,Q,3.0207,4.1901,3.2199
306091,JILL,2024-01-31,A,22.9392,4.1901,3.2199
168250,DLTH,2024-01-31,Q,2.4823,0.2854,-0.3155
353764,MEI,2024-01-31,Q,-0.9948,0.3968,-0.4812
271749,HQY,2024-01-31,Q,0.906,0.43,2.3001
320253,KSS,2024-01-31,Q,2.2653,1.1541,5.5586
132863,CONNQ,2024-01-31,A,-6.0219,2.2777,-4.2181
132936,CONNQ,2024-01-31,Q,3.3912,2.2777,-4.2181
133076,COO,2024-01-31,Q,0.7792,0.3603,0.023
451083,PSTG,2024-01-31,Q,4.7762,0.0787,1.451
451043,PSTG,2024-01-31,A,4.4749,0.0787,1.451
54818,AVGO,2024-01-31,Q,0.8862,1.0799,1.0049
351009,MDB,2024-01-31,Q,-2.5069,1.0695,1.6197
96420,CAL,2024-01-31,A,30.275,0.3207,4.4077
96493,CAL,2024-01-31,Q,9.8067,0.3207,4.4077
131191,CODA,2024-01-31,Q,1.256,,0.03
637659,VALU,2024-01-31,Q,6.5941,,4.906
620035,UNFI,2024-01-31,Q,-0.3613,1.2973,-3.3838
496404,SFIX,2024-01-31,Q,-16.3904,,-0.0768
313145,KFY,2024-01-31,Q,2.8382,0.2324,-0.4126
75415,BKE,2024-01-31,A,53.2208,,4.3514
75488,BKE,2024-01-31,Q,19.2588,,4.3514
312610,KEYS,2024-01-31,Q,2.8548,0.3772,1.5966
350977,MDB,2024-01-31,A,-7.9828,1.0695,1.6197
618866,ULTA,2024-01-31,Q,17.302,,20.9896
200095,ESTC,2024-01-31,Q,13.8009,0.8029,0.8154
260257,HCP,2024-01-31,Q,-2.6069,,-0.118
453764,PURE,2024-01-31,Q,-185.2126,-1.4095,-0.0118
454313,PVH,2024-01-31,Q,4.0503,0.4238,11.7455
74805,BJ,2024-01-31,Q,7.8541,0.4918,1.8636
24912,ALOT,2024-01-31,A,4.6785,0.2414,1.5314
24985,ALOT,2024-01-31,Q,2.702,0.2414,1.5314
388691,NIMU,2024-01-31,Q,21.2598,-0.6631,-0.0009
622910,USAU,2024-01-31,Q,-11.4868,,-0.5558
314251,KIRK,2024-01-31,Q,27.2519,10.8835,-1.4845
314177,KIRK,2024-01-31,A,-74.7522,10.8835,-1.4845
264257,HIBB,2024-01-31,A,24.5353,0.1128,5.0009
261773,HEI.A,2024-01-31,Q,2.1589,0.7539,0.7025
261679,HEI,2024-01-31,Q,2.1589,0.7539,0.7025
264330,HIBB,2024-01-31,Q,7.3455,0.1128,5.0009
498235,SGMA,2024-01-31,Q,0.3934,1.2712,2.478
54185,AVAV,2024-01-31,Q,1.6446,0.0477,0.4658
622022,URBN,2024-01-31,Q,2.2604,,3.2841
260583,HD,2024-01-31,Q,6.3969,42.2519,17.9102
260507,HD,2024-01-31,A,34.5833,42.2519,17.9102
621948,URBN,2024-01-31,A,13.6175,,3.2841
260243,HCP,2024-01-31,A,-15.7188,,-0.118
87922,BRZE,2024-01-31,Q,-6.4331,,-0.0661
618796,ULTA,2024-01-31,A,56.6397,,20.9896
170542,DOCU,2024-01-31,Q,2.4113,,4.2457
170513,DOCU,2024-01-31,A,6.5484,,4.2457
270642,HOV,2024-01-31,Q,1.4564,1.7035,-13.6086
642312,VIRC,2024-01-31,A,22.9869,0.0481,1.3249
642385,VIRC,2024-01-31,Q,-2.4571,0.0481,1.3249
154820,CXM,2024-01-31,A,7.5626,,0.1781
502272,SIG,2024-01-31,A,37.406,0.0682,7.8037
395746,NRT,2024-01-31,Q,34.7901,,
99513,CASY,2024-01-31,Q,1.9186,0.5553,8.0144
444218,PPIH,2024-01-31,Q,13.1109,0.2834,0.4494
444142,PPIH,2024-01-31,A,18.8888,0.2103,0.4494
502345,SIG,2024-01-31,Q,28.9038,0.0682,7.8037
154836,CXM,2024-01-31,Q,3.1106,,0.1781
643717,VLGEA,2024-01-31,Q,2.7934,0.2332,0.7593
135168,CPB,2024-01-31,Q,2.4291,1.1737,1.408
99758,CATO,2024-01-31,A,-12.4485,,-0.6217
99831,CATO,2024-01-31,Q,-12.177,,-0.6217
128477,CNM,2024-01-31,Q,2.2439,1.2323,4.5212
128461,CNM,2024-01-31,A,15.6776,1.2323,4.5212
270896,HPE,2024-01-31,Q,1.3205,0.5961,-0.3769
383270,NDSN,2024-01-31,Q,2.5784,0.6047,2.8642
271315,HPQ,2024-01-31,Q,8.119,-5.8902,-0.0369
271705,HQY,2024-01-31,A,1.9145,0.43,2.3001
320180,KSS,2024-01-31,A,3.8607,1.1541,5.5586
151695,CVGW,2024-01-31,Q,-1.0218,0.2518,-0.0546
392207,NOBH,2024-01-31,Q,4.2449,,0.8168
616852,UEC,2024-01-31,Q,0.2925,,-0.2042
73205,BIGGQ,2024-01-31,A,-69.7597,1.428,-10.8077
312238,KEQU,2024-01-31,Q,3.4608,0.7022,5.0675
255851,GWRE,2024-01-31,Q,0.5856,0.3169,-0.1546
639583,VEEV,2024-01-31,A,11.3181,,5.4142
639631,VEEV,2024-01-31,Q,3.1734,,5.4142
55716,AVO,2024-01-31,Q,0.2831,0.3383,-0.0057
27301,ALZN,2024-01-31,Q,62.4421,,-9.9096
