index,ticker,per_end_date,per_type,mkt_val
328351,ENPH,2024-03-31,Q,16460.87
767101,PLTR,2024-03-31,Q,51242.42
767026,PLTK,2024-03-31,Q,2616.45
328501,ENR,2024-03-31,Q,2113.27
328651,ENS,2024-03-31,Q,3817.69
766801,PLSE,2024-03-31,Q,533.27
328726,ENSC,2024-03-31,Q,5.79
328801,ENSG,2024-03-31,Q,7082.36
766651,PLRX,2024-03-31,Q,898.75
329026,ENSV,2024-03-31,Q,5.2
766351,PLPC,2024-03-31,Q,632.8
329176,ENTA,2024-03-31,Q,369.38
766201,PLOW,2024-03-31,Q,554.37
329326,ENTG,2024-03-31,Q,21192.23
766051,PLNT,2024-03-31,Q,5505.37
767251,PLUG,2024-03-31,Q,2394.82
768076,PM,2024-03-31,Q,142428.5
327451,ENLC,2024-03-31,Q,6155.79
768001,PLYM,2024-03-31,Q,1021.1
328201,ENOV,2024-03-31,Q,3425.44
767926,PLYA,2024-03-31,Q,1347.25
767776,PLXS,2024-03-31,Q,2617.03
767551,PLX,2024-03-31,Q,92.38
767476,PLUS,2024-03-31,Q,2115.87
767401,PLUR,2024-03-31,Q,33.43
329551,ENTO,2024-03-31,Q,8.87
764626,PLCE,2024-03-31,Q,143.99
764551,PLBY,2024-03-31,Q,76.28
330976,EOG,2024-03-31,Q,73471.0
764476,PLBC,2024-03-31,Q,216.85
331051,EOLS,2024-03-31,Q,876.31
764326,PLAY,2024-03-31,Q,2522.75
764026,PLAG,2024-03-31,Q,18.74
763951,PLAB,2024-03-31,Q,1794.18
331801,EPAM,2024-03-31,Q,16015.99
763651,PL,2024-03-31,Q,741.08
331426,EOSE,2024-03-31,Q,212.98
765751,PLMR,2024-03-31,Q,2089.13
329776,ENTX,2024-03-31,Q,59.33
765676,PLMJ,2024-03-31,Q,84.75
329851,ENV,2024-03-31,Q,3172.82
329926,ENVA,2024-03-31,Q,1771.81
330001,ENVB,2024-03-31,Q,7.29
765301,PLL,2024-03-31,Q,257.94
330301,ENVX,2024-03-31,Q,1360.9
330526,ENZ,2024-03-31,Q,65.06
330601,ENZN,2024-03-31,Q,
764851,PLD,2024-03-31,Q,120563.41
768601,PMD,2024-03-31,Q,17.01
323251,EMBC,2024-03-31,Q,764.07
772051,PNST,2024-03-31,Q,130.29
772351,PNTG,2024-03-31,Q,589.15
771601,PNR,2024-03-31,Q,14185.14
324001,EME,2024-03-31,Q,16458.08
771226,PNNT,2024-03-31,Q,448.74
771751,PNRG,2024-03-31,Q,179.47
321976,ELTX,2024-03-31,Q,77.76
773476,POLA,2024-03-31,Q,7.19
322126,ELUT,2024-03-31,Q,76.46
773326,PODD,2024-03-31,Q,12001.86
773251,PODC,2024-03-31,Q,48.38
322276,ELV,2024-03-31,Q,120517.96
773176,POCI,2024-03-31,Q,33.67
322426,ELVN,2024-03-31,Q,826.83
772726,PNW,2024-03-31,Q,8486.26
773026,POAI,2024-03-31,Q,10.36
769726,PMT,2024-03-31,Q,1274.89
769501,PMNT,2024-03-31,Q,56.04
769426,PMN,2024-03-31,Q,36.22
326626,ENFN,2024-03-31,Q,1184.7
326701,ENG,2024-03-31,Q,8.85
324526,EMKR,2024-03-31,Q,26.67
324601,EML,2024-03-31,Q,212.5
324751,EMMA,2024-03-31,Q,6.49
324901,EMN,2024-03-31,Q,11790.83
325051,EMR,2024-03-31,Q,64887.59
769951,PMTS,2024-03-31,Q,203.27
770026,PMVCD,2024-03-31,Q,
770101,PMVP,2024-03-31,Q,87.45
770251,PNBK,2024-03-31,Q,14.91
338551,ESCA,2024-03-31,Q,190.6
756901,PGRE,2024-03-31,Q,1019.27
756826,PGR,2024-03-31,Q,121134.14
338776,ESE,2024-03-31,Q,2761.71
756676,PGNY,2024-03-31,Q,3666.61
339151,ESGR,2024-03-31,Q,4731.15
758176,PHGE,2024-03-31,Q,24.85
337426,ERNA,2024-03-31,Q,12.98
757801,PHAT,2024-03-31,Q,621.53
337876,ES,2024-03-31,Q,20962.95
757501,PH,2024-03-31,Q,71441.79
757426,PGY,2024-03-31,Q,713.08
341176,ESS,2024-03-31,Q,15719.02
341251,ESSA,2024-03-31,Q,184.7
754201,PFMT,2024-03-31,Q,226.15
754126,PFLT,2024-03-31,Q,701.33
754051,PFIS,2024-03-31,Q,304.24
341551,ESTA,2024-03-31,Q,1397.7
753901,PFIE,2024-03-31,Q,87.13
341626,ESTC,2024-03-31,Q,10104.19
341851,ET,2024-03-31,Q,53000.3
753601,PFGC,2024-03-31,Q,11612.93
753526,PFG,2024-03-31,Q,20229.64
341026,ESRT,2024-03-31,Q,1669.4
339826,ESLA,2024-03-31,Q,45.4
755626,PGEN,2024-03-31,Q,360.93
755401,PGC,2024-03-31,Q,431.91
340126,ESMC,2024-03-31,Q,1.84
755326,PG,2024-03-31,Q,382931.94
755251,PFX,2024-03-31,Q,90.87
340876,ESQ,2024-03-31,Q,393.66
754651,PFS,2024-03-31,Q,1901.61
340726,ESPR,2024-03-31,Q,507.59
340576,ESP,2024-03-31,Q,68.45
340501,ESNT,2024-03-31,Q,6359.99
755026,PFTA,2024-03-31,Q,111.36
754801,PFSI,2024-03-31,Q,4638.55
761851,PIRS,2024-03-31,Q,18.13
333751,EPR,2024-03-31,Q,3212.1
761701,PIPR,2024-03-31,Q,3517.32
333376,EPM,2024-03-31,Q,205.42
761401,PINS,2024-03-31,Q,23685.5
334126,EPSN,2024-03-31,Q,120.41
761176,PINE,2024-03-31,Q,208.16
761101,PINC,2024-03-31,Q,2316.53
334501,EQ,2024-03-31,Q,81.44
333976,EPRT,2024-03-31,Q,4673.67
762151,PIXY,2024-03-31,Q,17.83
332176,EPC,2024-03-31,Q,1929.42
763201,PKST,2024-03-31,Q,585.61
332326,EPD,2024-03-31,Q,63269.4
762976,PKOH,2024-03-31,Q,348.73
762826,PKG,2024-03-31,Q,17033.66
762451,PKBO,2024-03-31,Q,0.12
762376,PKBK,2024-03-31,Q,205.98
762301,PK,2024-03-31,Q,3683.35
333226,EPIX,2024-03-31,Q,375.6
334651,EQBK,2024-03-31,Q,527.35
336151,EQV,2024-03-31,Q,
336376,ERAS,2024-03-31,Q,357.12
759076,PHR,2024-03-31,Q,1349.35
759001,PHM,2024-03-31,Q,25371.47
758776,PHIO,2024-03-31,Q,3.12
758701,PHIN,2024-03-31,Q,1755.6
336901,ERIE,2024-03-31,Q,18549.17
337051,ERII,2024-03-31,Q,905.24
335851,EQT,2024-03-31,Q,16369.82
334726,EQC,2024-03-31,Q,2025.76
760726,PIK,2024-03-31,Q,8.92
334876,EQFN,2024-03-31,Q,34.1
760576,PIII,2024-03-31,Q,325.38
760501,PII,2024-03-31,Q,5658.13
335026,EQH,2024-03-31,Q,12452.69
335176,EQIX,2024-03-31,Q,78093.55
760201,PI,2024-03-31,Q,3559.15
759676,PHUN,2024-03-31,Q,71.92
335776,EQS,2024-03-31,Q,19.84
759826,PHX,2024-03-31,Q,127.73
335626,EQR,2024-03-31,Q,23953.63
321826,ELTP,2024-03-31,Q,164.84
787726,PSN,2024-03-31,Q,12172.72
787651,PSMT,2024-03-31,Q,2578.8
307951,EBTC,2024-03-31,Q,318.88
787426,PSIX,2024-03-31,Q,52.6
307726,EBS,2024-03-31,Q,132.58
308401,ECBK,2024-03-31,Q,119.92
308476,ECC,2024-03-31,Q,777.95
308551,ECDA,2024-03-31,Q,29.96
786601,PSEC,2024-03-31,Q,2291.95
787801,PSNL,2024-03-31,Q,77.39
789001,PSTL,2024-03-31,Q,324.13
306601,EB,2024-03-31,Q,532.19
306676,EBAY,2024-03-31,Q,26706.68
788776,PSTG,2024-03-31,Q,16892.09
306751,EBC,2024-03-31,Q,2431.16
306826,EBET,2024-03-31,Q,1.66
306901,EBF,2024-03-31,Q,530.69
788326,PSQH,2024-03-31,Q,152.18
307351,EBMT,2024-03-31,Q,102.94
308926,ECIA,2024-03-31,Q,8.91
310351,ECVT,2024-03-31,Q,1304.61
310651,ED,2024-03-31,Q,31375.76
310876,EDBL,2024-03-31,Q,1.97
784426,PRU,2024-03-31,Q,42146.6
784276,PRTS,2024-03-31,Q,91.76
784576,PRVA,2024-03-31,Q,2324.46
786226,PSBD,2024-03-31,Q,530.28
785851,PSA,2024-03-31,Q,50970.7
310126,ECTM,2024-03-31,Q,8.79
309751,ECPG,2024-03-31,Q,1080.36
309676,ECOR,2024-03-31,Q,37.04
311476,EDIT,2024-03-31,Q,610.18
302626,DXCM,2024-03-31,Q,55158.75
792676,PTSI,2024-03-31,Q,357.18
302851,DXLG,2024-03-31,Q,208.76
303001,DXPE,2024-03-31,Q,855.83
303301,DXYN,2024-03-31,Q,9.01
792151,PTPI,2024-03-31,Q,10.18
303451,DY,2024-03-31,Q,4175.53
303526,DYAI,2024-03-31,Q,48.83
791926,PTON,2024-03-31,Q,1588.94
302551,DXC,2024-03-31,Q,3878.69
302476,DX,2024-03-31,Q,798.8
301501,DVN,2024-03-31,Q,31713.76
793876,PUCK,2024-03-31,Q,73.56
793726,PUBM,2024-03-31,Q,1183.13
302251,DWSN,2024-03-31,Q,43.75
793201,PTVE,2024-03-31,Q,2565.42
302401,DWTX,2024-03-31,Q,9.23
791626,PTN,2024-03-31,Q,30.18
790276,PTCT,2024-03-31,Q,2231.11
790201,PTC,2024-03-31,Q,22588.23
305326,EACO,2024-03-31,Q,
