index,ticker,per_end_date,per_type,shares_out
898126,SNOW,2024-01-31,Q,334.45
362026,FEIM,2024-01-31,Q,9.42
820726,REVG,2024-01-31,Q,51.8
1065226,WOOF,2024-01-31,Q,306.8
990676,TTC,2024-01-31,Q,104.4
819001,RENT,2024-01-31,Q,3.55
477451,HURC,2024-01-31,Q,6.61
821026,REX,2024-01-31,Q,17.5
56476,AMWD,2024-01-31,Q,15.85
703951,NX,2024-01-31,Q,33.1
824551,RH,2024-01-31,Q,18.4
240076,CRDO,2024-01-31,Q,163.29
822076,RFL,2024-01-31,Q,24.48
822001,RFIL,2024-01-31,Q,10.34
639901,MOV,2024-01-31,Q,35.49
406051,GEF,2024-01-31,Q,47.12
144001,BOX,2024-01-31,Q,144.35
406126,GEF.B,2024-01-31,Q,47.12
1062376,WLYB,2024-01-31,Q,54.74
17551,ADI,2024-01-31,Q,495.91
469351,HQY,2024-01-31,Q,85.8
1062301,WLY,2024-01-31,Q,54.74
468601,HPQ,2024-01-31,Q,980.73
467776,HPE,2024-01-31,Q,1299.82
467176,HOV,2024-01-31,Q,6.1
652051,MTN,2024-01-31,Q,37.97
48751,AMBA,2024-01-31,Q,40.25
233176,CPB,2024-01-31,Q,299.48
48676,AMAT,2024-01-31,Q,830.9
330601,ENZ,2024-01-31,Q,50.49
1003951,UEC,2024-01-31,Q,392.98
649126,MSS,2024-01-31,Q,19.69
58876,ANF,2024-01-31,Q,50.41
470176,HRL,2024-01-31,Q,547.69
147226,BRC,2024-01-31,Q,48.33
645751,MRVL,2024-01-31,Q,864.5
1063876,WMT,2024-01-31,Q,8076.7
236326,CPRT,2024-01-31,Q,961.46
646501,MSB,2024-01-31,Q,
408301,GES,2024-01-31,Q,53.7
471826,HSCS,2024-01-31,Q,0.64
648751,MSOF,2024-01-31,Q,
812251,RCAT,2024-01-31,Q,74.17
148876,BRID,2024-01-31,Q,9.08
59476,ANIX,2024-01-31,Q,31.71
399226,GAP,2024-01-31,Q,370.83
709726,OCC,2024-01-31,Q,7.89
968776,TLYS,2024-01-31,Q,30.02
964201,TJX,2024-01-31,Q,1139.68
847351,S,2024-01-31,Q,304.69
959851,THO,2024-01-31,Q,53.32
747001,PD,2024-01-31,Q,92.89
616576,MEI,2024-01-31,Q,35.48
747301,PDCO,2024-01-31,Q,89.59
366601,FGPRQ,2024-01-31,Q,6.21
182851,CDMO,2024-01-31,Q,63.24
202501,CIEN,2024-01-31,Q,145.01
963601,TITN,2024-01-31,Q,22.85
402901,GCO,2024-01-31,Q,11.49
63001,AOUT,2024-01-31,Q,12.94
138451,BNED,2024-01-31,Q,0.53
976951,TPET,2024-01-31,Q,31.9
490426,IDT.C,2024-01-31,Q,
490351,IDT,2024-01-31,Q,25.35
243001,CRMT,2024-01-31,Q,6.39
242701,CRM,2024-01-31,Q,968.0
974776,TOL,2024-01-31,Q,104.17
247276,CSBR,2024-01-31,Q,13.59
835726,ROST,2024-01-31,Q,336.67
626401,MIND,2024-01-31,Q,1.41
494926,IHT,2024-01-31,Q,9.01
245626,CRWD,2024-01-31,Q,241.87
1069726,WSM,2024-01-31,Q,128.29
22951,AEO,2024-01-31,Q,197.54
438076,GTLB,2024-01-31,Q,157.56
32551,AI,2024-01-31,Q,122.05
1033576,VNCE,2024-01-31,Q,12.5
677851,NIMU,2024-01-31,Q,154.81
420376,GME,2024-01-31,Q,305.51
354826,FBDS,2024-01-31,Q,19.09
219076,CMTL,2024-01-31,Q,28.48
165601,CAL,2024-01-31,Q,35.5
1036576,VRA,2024-01-31,Q,30.8
764401,PLAY,2024-01-31,Q,40.19
788851,PSTG,2024-01-31,Q,304.08
764701,PLCE,2024-01-31,Q,12.48
1028551,VIRC,2024-01-31,Q,16.35
441826,GWRE,2024-01-31,Q,81.93
222001,CNM,2024-01-31,Q,201.29
1031176,VLGEA,2024-01-31,Q,14.79
1052251,WDAY,2024-01-31,Q,263.86
693151,NTAP,2024-01-31,Q,206.38
30601,AGX,2024-01-31,Q,13.33
683776,NOBH,2024-01-31,Q,3.27
689476,NRT,2024-01-31,Q,9.19
772126,PNST,2024-01-31,Q,40.09
170401,CASY,2024-01-31,Q,37.11
170776,CATO,2024-01-31,Q,20.57
776251,PPIH,2024-01-31,Q,8.06
421501,GMS,2024-01-31,Q,39.83
1038151,VRNT,2024-01-31,Q,63.01
1040251,VSCO,2024-01-31,Q,77.43
341701,ESTC,2024-01-31,Q,100.81
44251,ALOT,2024-01-31,Q,7.43
19576,ADSK,2024-01-31,Q,213.91
1011751,URBN,2024-01-31,Q,92.78
1012951,USAU,2024-01-31,Q,9.33
456451,HIBB,2024-01-31,Q,11.77
413851,GIII,2024-01-31,Q,45.73
661951,NAPA,2024-01-31,Q,115.41
229651,CONNQ,2024-01-31,Q,24.55
47926,ALZN,2024-01-31,Q,0.71
465001,HOFT,2024-01-31,Q,10.67
759151,PHR,2024-01-31,Q,55.63
151951,BRZE,2024-01-31,Q,100.21
699151,NVDA,2024-01-31,Q,25000.0
1006801,ULTA,2024-01-31,Q,48.56
1008601,UNFI,2024-01-31,Q,59.41
229801,COO,2024-01-31,Q,198.76
357976,FCEL,2024-01-31,Q,451.86
449701,HCP,2024-01-31,Q,199.25
666751,NCNO,2024-01-31,Q,113.13
667201,NCPL,2024-01-31,Q,0.25
763726,PL,2024-01-31,Q,289.27
695176,NTNX,2024-01-31,Q,244.66
668626,NDSN,2024-01-31,Q,57.19
1022926,VEEV,2024-01-31,Q,161.26
764026,PLAB,2024-01-31,Q,63.39
450451,HD,2024-01-31,Q,991.02
175501,CBRL,2024-01-31,Q,22.2
157276,BURL,2024-01-31,Q,63.92
452101,HEI.A,2024-01-31,Q,138.36
452026,HEI,2024-01-31,Q,138.36
795451,PVH,2024-01-31,Q,59.64
226501,CODA,2024-01-31,Q,11.16
1018951,VALU,2024-01-31,Q,9.43
794626,PURE,2024-01-31,Q,111.86
509551,INTU,2024-01-31,Q,280.0
247501,CSCO,2024-01-31,Q,4049.19
739051,PATH,2024-01-31,Q,569.27
592426,LULU,2024-01-31,Q,126.22
930901,SVBL,2024-01-31,Q,35.68
555826,KSS,2024-01-31,Q,110.71
1083901,YEXT,2024-01-31,Q,124.87
108526,BASE,2024-01-31,Q,48.07
6226,ABM,2024-01-31,Q,63.28
910051,SPWH,2024-01-31,Q,37.41
957901,TGT,2024-01-31,Q,461.66
539251,KALV,2024-01-31,Q,34.56
738151,PANW,2024-01-31,Q,323.1
272401,DCI,2024-01-31,Q,120.37
88201,ATIF,2024-01-31,Q,9.63
872326,SGMA,2024-01-31,Q,6.09
537901,JWN,2024-01-31,Q,162.33
96901,AVGO,2024-01-31,Q,4634.21
537601,JVA,2024-01-31,Q,
883351,SJM,2024-01-31,Q,106.18
597376,LZB,2024-01-31,Q,42.64
120601,BF.A,2024-01-31,Q,472.48
370276,FIZZ,2024-01-31,Q,93.39
890401,SMAR,2024-01-31,Q,136.88
716776,OLLI,2024-01-31,Q,61.59
597676,M,2024-01-31,Q,274.07
120676,BF.B,2024-01-31,Q,472.48
263701,CXM,2024-01-31,Q,273.27
1091851,ZM,2024-01-31,Q,307.56
868801,SFIX,2024-01-31,Q,120.17
933601,SWBI,2024-01-31,Q,45.64
370801,FL,2024-01-31,Q,94.16
725326,OPTT,2024-01-31,Q,59.46
98401,AVO,2024-01-31,Q,70.85
532126,JILL,2024-01-31,Q,10.6
284251,DKS,2024-01-31,Q,80.41
285976,DLTH,2024-01-31,Q,31.11
884326,SKIL,2024-01-31,Q,8.07
919276,STCN,2024-01-31,Q,6.27
546751,KIRK,2024-01-31,Q,12.92
583801,LOVE,2024-01-31,Q,15.49
583951,LOW,2024-01-31,Q,575.11
268651,DAKT,2024-01-31,Q,46.19
879526,SIG,2024-01-31,Q,44.2
722701,OOMA,2024-01-31,Q,25.8
1088701,ZDGE,2024-01-31,Q,13.83
1089451,ZFOX,2024-01-31,Q,124.64
286051,DLTR,2024-01-31,Q,217.87
112051,BBW,2024-01-31,Q,14.31
112126,BBWI,2024-01-31,Q,225.94
112276,BBY,2024-01-31,Q,215.4
271276,DBI,2024-01-31,Q,57.22
924601,STRM,2024-01-31,Q,3.92
110101,BBCP,2024-01-31,Q,53.87
578626,LMNR,2024-01-31,Q,18.0
553276,KR,2024-01-31,Q,719.42
95776,AVAV,2024-01-31,Q,28.14
544651,KFY,2024-01-31,Q,52.54
1087051,YYAI,2024-01-31,Q,1.03
543826,KEYS,2024-01-31,Q,174.67
290176,DOCU,2024-01-31,Q,203.93
543151,KEQU,2024-01-31,Q,2.9
290851,DOMO,2024-01-31,Q,36.92
198976,CHPT,2024-01-31,Q,421.12
1094326,ZUMZ,2024-01-31,Q,19.83
303451,DY,2024-01-31,Q,29.09
1094401,ZUO,2024-01-31,Q,146.03
126376,BIGGQ,2024-01-31,Q,29.22
278626,DG,2024-01-31,Q,219.5
256951,CULP,2024-01-31,Q,12.47
276451,DELL,2024-01-31,Q,705.0
893851,SMTC,2024-01-31,Q,64.29
603826,MAYS,2024-01-31,Q,2.02
257776,CURV,2024-01-31,Q,104.1
369976,FIVE,2024-01-31,Q,55.19
302851,DXLG,2024-01-31,Q,60.18
201601,CHWY,2024-01-31,Q,431.78
129151,BJ,2024-01-31,Q,133.38
103276,AXR,2024-01-31,Q,5.27
613726,MDT,2024-01-31,Q,1327.82
711826,ODC,2024-01-31,Q,7.29
849001,SAIC,2024-01-31,Q,52.06
898351,SNPS,2024-01-31,Q,152.54
130051,BKE,2024-01-31,Q,50.44
1,A,2024-01-31,Q,293.05
512326,IOT,2024-01-31,Q,545.97
254776,CTRN,2024-01-31,Q,8.54
566026,LE,2024-01-31,Q,31.45
610951,MDB,2024-01-31,Q,72.74
734626,OXM,2024-01-31,Q,15.63
275176,DE,2024-01-31,Q,278.36
571651,LGTY,2024-01-31,Q,33.22
861151,SCWX,2024-01-31,Q,86.39
860851,SCVL,2024-01-31,Q,27.13
259201,CVGW,2024-01-31,Q,17.8
715801,OKTA,2024-01-31,Q,167.4
82426,ASO,2024-01-31,Q,74.15
274876,DDS,2024-01-31,Q,16.23
560401,LAKE,2024-01-31,Q,7.36
1093576,ZS,2024-01-31,Q,148.33
79351,ASAN,2024-01-31,Q,224.73
34726,AIR,2024-02-29,Q,35.43
343576,ETWO,2024-02-29,Q,340.66
674551,NG,2024-02-29,Q,334.37
214726,CMC,2024-02-29,Q,115.71
567526,LEN,2024-02-29,Q,278.34
567601,LEN.B,2024-02-29,Q,278.34
225226,CNXC,2024-02-29,Q,66.3
677401,NICH,2024-02-29,Q,7.15
345976,EVGR,2024-02-29,Q,3.41
566701,LEDS,2024-02-29,Q,7.18
580576,LNN,2024-02-29,Q,11.03
555076,KRUS,2024-02-29,Q,11.23
892726,SMPL,2024-02-29,Q,99.81
109651,BB,2024-02-29,Q,589.23
888751,SLP,2024-02-29,Q,19.97
669976,NEOG,2024-02-29,Q,216.61
166276,CALM,2024-02-29,Q,49.04
569176,LFCR,2024-02-29,Q,30.55
105976,AZZ,2024-02-29,Q,25.1
104401,AYI,2024-02-29,Q,30.8
899776,SNX,2024-02-29,Q,87.66
102601,AXIL,2024-02-29,Q,5.88
679276,NKE,2024-02-29,Q,1509.36
1035751,VOXX,2024-02-29,Q,21.96
779926,PRGS,2024-02-29,Q,43.22
787726,PSMT,2024-02-29,Q,30.52
903451,SOTK,2024-02-29,Q,15.74
1027126,VIDE,2024-02-29,Q,
